ROI,Effect,MeanEffect,StdEffect,StderrEffect
1,S,1.605317,1.474776,0.046087
1,N,0.401766,0.908105,0.028378
1,S-N,1.203551,0.945671,0.029552
2,S,2.079955,1.532752,0.047898
2,N,0.581302,1.019641,0.031864
2,S-N,1.498652,0.944984,0.029531
3,S,2.677084,1.724305,0.053885
3,N,1.082275,1.229108,0.038410
3,S-N,1.594810,1.039210,0.032475
4,S,1.293421,0.717618,0.022426
4,N,0.122069,0.417881,0.013059
4,S-N,1.171353,0.601838,0.018807
5,S,1.884738,0.966980,0.030218
5,N,0.494530,0.601437,0.018795
5,S-N,1.390208,0.656818,0.020526
6,S,0.498984,0.810635,0.025332
6,N,-0.293892,0.661719,0.020679
6,S-N,0.792877,0.724709,0.022647
7,S,0.708996,0.920217,0.028757
7,N,0.253364,0.782997,0.024469
7,S-N,0.455632,0.641467,0.020046
8,S,0.859963,1.088288,0.034009
8,N,0.302486,0.796053,0.024877
8,S-N,0.557477,0.704020,0.022001
9,S,0.863497,1.322037,0.041314
9,N,0.516129,1.019741,0.031867
9,S-N,0.347368,0.639344,0.019980
10,S,0.858158,0.851964,0.026624
10,N,0.047920,0.697349,0.021792
10,S-N,0.810238,0.579129,0.018098
11,S,0.859000,0.789919,0.024685
11,N,0.277850,0.555461,0.017358
11,S-N,0.581150,0.497561,0.015549
12,S,-0.030708,0.743442,0.023233
12,N,-0.223506,0.706938,0.022092
12,S-N,0.192798,0.385204,0.012038
