ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,370,37,1.000000,1.605317,0.046087,34.832491,1023.000000,0.000000,0.000000
2,743,74,1.000000,2.079955,0.047898,43.424218,1023.000000,0.000000,0.000000
3,462,46,1.000000,2.677084,0.053885,49.681874,1023.000000,0.000000,0.000000
4,1627,162,1.000000,1.293421,0.022426,57.676208,1023.000000,0.000000,0.000000
5,2948,294,1.000000,1.884738,0.030218,62.371110,1023.000000,0.000000,0.000000
6,644,64,1.000000,0.498984,0.025332,19.697528,1023.000000,0.000000,0.000000
7,370,37,1.000000,0.708996,0.028757,24.654914,1023.000000,0.000000,0.000000
8,743,74,0.999023,0.860804,0.034032,25.294066,1022.000000,0.000000,0.000000
9,462,46,0.999023,0.864341,0.041345,20.905375,1022.000000,0.000000,0.000000
10,1627,162,1.000000,0.858158,0.026624,32.232631,1023.000000,0.000000,0.000000
11,2948,294,1.000000,0.859000,0.024685,34.798529,1023.000000,0.000000,0.000000
12,644,64,1.000000,-0.030708,0.023233,-1.321764,1023.000000,0.906729,0.906729
