ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;S],mean[1;N],mean[1;S-N],stderr[1;S],stderr[1;N],stderr[1;S-N],T/F,dof,p,p-fdr
1,370,37,1.000000,1.605317,0.401766,1.203551,0.046087,0.028378,0.029552,555.797550,1021.000000,0.000000,0.000000
2,743,74,1.000000,2.079955,0.581302,1.498652,0.047898,0.031864,0.029531,875.254231,1021.000000,0.000000,0.000000
3,462,46,1.000000,2.677084,1.082275,1.594810,0.053885,0.038410,0.032475,949.864350,1021.000000,0.000000,0.000000
4,1627,162,1.000000,1.293421,0.122069,1.171353,0.022426,0.013059,0.018807,1338.890853,1021.000000,0.000000,0.000000
5,2948,294,1.000000,1.884738,0.494530,1.390208,0.030218,0.018795,0.020526,1594.947065,1021.000000,0.000000,0.000000
6,644,64,1.000000,0.498984,-0.293892,0.792877,0.025332,0.020679,0.022647,411.199995,1021.000000,0.000000,0.000000
7,370,37,1.000000,0.708996,0.253364,0.455632,0.028757,0.024469,0.020046,242.860166,1021.000000,0.000000,0.000000
8,743,74,0.999023,0.860804,0.302782,0.558022,0.034032,0.024899,0.022015,253.523736,1020.000000,0.000000,0.000000
9,462,46,0.999023,0.864341,0.516634,0.347708,0.041345,0.031894,0.019996,152.962966,1020.000000,0.000000,0.000000
10,1627,162,1.000000,0.858158,0.047920,0.810238,0.026624,0.021792,0.018098,685.850844,1021.000000,0.000000,0.000000
11,2948,294,1.000000,0.859000,0.277850,0.581150,0.024685,0.017358,0.015549,508.776695,1021.000000,0.000000,0.000000
12,644,64,1.000000,-0.030708,-0.223506,0.192798,0.023233,0.022092,0.012038,103.683458,1021.000000,0.000000,0.000000
