subject,index,weight,i,j,k,x(mm),y(mm),z(mm)
857,194854,0.5000,23,71,20,46,14,-34
857,194855,0.5000,24,71,20,44,14,-34
857,194944,0.5000,22,72,20,48,16,-34
857,194945,0.5000,23,72,20,46,16,-34
857,195035,0.5000,22,73,20,48,18,-34
857,204682,0.5000,23,70,21,46,12,-32
857,204683,0.5000,24,70,21,44,12,-32
857,204773,0.5000,23,71,21,46,14,-32
857,204774,0.5000,24,71,21,44,14,-32
857,204862,0.5000,21,72,21,50,16,-32
857,204863,0.5000,22,72,21,48,16,-32
857,204864,0.5000,23,72,21,46,16,-32
857,204954,0.5000,22,73,21,48,18,-32
857,204955,0.5000,23,73,21,46,18,-32
857,205045,0.5000,22,74,21,48,20,-32
857,214601,0.5000,23,70,22,46,12,-30
857,214602,0.5000,24,70,22,44,12,-30
857,214689,0.5000,20,71,22,52,14,-30
857,214692,0.5000,23,71,22,46,14,-30
857,214780,0.5000,20,72,22,52,16,-30
857,214781,0.5000,21,72,22,50,16,-30
857,214782,0.5000,22,72,22,48,16,-30
857,214872,0.5000,21,73,22,50,18,-30
857,214873,0.5000,22,73,22,48,18,-30
857,214964,0.5000,22,74,22,48,20,-30
857,224386,0.5000,71,68,23,-50,8,-28
857,224387,0.5000,72,68,23,-52,8,-28
857,224478,0.5000,72,69,23,-52,10,-28
857,224521,0.5000,24,70,23,44,12,-28
857,224608,0.5000,20,71,23,52,14,-28
857,224699,0.5000,20,72,23,52,16,-28
857,224700,0.5000,21,72,23,50,16,-28
857,224748,0.5000,69,72,23,-46,16,-28
857,224791,0.5000,21,73,23,50,18,-28
857,224792,0.5000,22,73,23,48,18,-28
857,224839,0.5000,69,73,23,-46,18,-28
857,224840,0.5000,70,73,23,-48,18,-28
857,224883,0.5000,22,74,23,48,20,-28
857,224929,0.5000,68,74,23,-44,20,-28
857,224930,0.5000,69,74,23,-46,20,-28
857,224931,0.5000,70,74,23,-48,20,-28
857,225020,0.5000,68,75,23,-44,22,-28
857,225021,0.5000,69,75,23,-46,22,-28
857,233848,0.5000,69,63,24,-46,-2,-26
857,234214,0.5000,71,67,24,-50,6,-26
857,234215,0.5000,72,67,24,-52,6,-26
857,234305,0.5000,71,68,24,-50,8,-26
857,234306,0.5000,72,68,24,-52,8,-26
857,234307,0.5000,73,68,24,-54,8,-26
857,234396,0.5000,71,69,24,-50,10,-26
857,234397,0.5000,72,69,24,-52,10,-26
857,234487,0.5000,71,70,24,-50,12,-26
857,234488,0.5000,72,70,24,-52,12,-26
857,234527,0.5000,20,71,24,52,14,-26
857,234576,0.5000,69,71,24,-46,14,-26
857,234577,0.5000,70,71,24,-48,14,-26
857,234578,0.5000,71,71,24,-50,14,-26
857,234618,0.5000,20,72,24,52,16,-26
857,234667,0.5000,69,72,24,-46,16,-26
857,234668,0.5000,70,72,24,-48,16,-26
857,234758,1.0000,69,73,24,-46,18,-26
857,234759,1.0000,70,73,24,-48,18,-26
857,234848,0.5000,68,74,24,-44,20,-26
857,234849,0.5000,69,74,24,-46,20,-26
857,234850,0.5000,70,74,24,-48,20,-26
857,234939,0.5000,68,75,24,-44,22,-26
857,234940,0.5000,69,75,24,-46,22,-26
857,243495,1.0000,70,60,25,-48,-8,-24
857,243585,0.5000,69,61,25,-46,-6,-24
857,243586,1.0000,70,61,25,-48,-6,-24
857,243676,0.5000,69,62,25,-46,-4,-24
857,243677,0.5000,70,62,25,-48,-4,-24
857,243767,0.5000,69,63,25,-46,-2,-24
857,243954,0.5000,74,65,25,-56,2,-24
857,244133,0.5000,71,67,25,-50,6,-24
857,244134,0.5000,72,67,25,-52,6,-24
857,244135,0.5000,73,67,25,-54,6,-24
857,244224,0.5000,71,68,25,-50,8,-24
857,244225,0.5000,72,68,25,-52,8,-24
857,244226,0.5000,73,68,25,-54,8,-24
857,244315,1.0000,71,69,25,-50,10,-24
857,244316,1.0000,72,69,25,-52,10,-24
857,244354,0.5000,19,70,25,54,12,-24
857,244406,0.5000,71,70,25,-50,12,-24
857,244407,0.5000,72,70,25,-52,12,-24
857,244445,0.5000,19,71,25,54,14,-24
857,244495,0.5000,69,71,25,-46,14,-24
857,244496,0.5000,70,71,25,-48,14,-24
857,244497,0.5000,71,71,25,-50,14,-24
857,244498,0.5000,72,71,25,-52,14,-24
857,244586,0.5000,69,72,25,-46,16,-24
857,244587,0.5000,70,72,25,-48,16,-24
857,244588,0.5000,71,72,25,-50,16,-24
857,244677,1.0000,69,73,25,-46,18,-24
857,244678,1.0000,70,73,25,-48,18,-24
857,244767,0.5000,68,74,25,-44,20,-24
857,244768,0.5000,69,74,25,-46,20,-24
857,244769,0.5000,70,74,25,-48,20,-24
857,253183,0.5000,21,58,26,50,-12,-22
857,253275,0.5000,22,59,26,48,-10,-22
857,253323,0.5000,70,59,26,-48,-10,-22
857,253365,0.5000,21,60,26,50,-8,-22
857,253366,0.5000,22,60,26,48,-8,-22
857,253413,0.5000,69,60,26,-46,-8,-22
857,253414,1.0000,70,60,26,-48,-8,-22
857,253415,0.5000,71,60,26,-50,-8,-22
857,253504,0.5000,69,61,26,-46,-6,-22
857,253505,1.0000,70,61,26,-48,-6,-22
857,253595,0.5000,69,62,26,-46,-4,-22
857,253596,0.5000,70,62,26,-48,-4,-22
857,253782,0.5000,74,64,26,-56,0,-22
857,253873,0.5000,74,65,26,-56,2,-22
857,253874,0.5000,75,65,26,-58,2,-22
857,253961,0.5000,71,66,26,-50,4,-22
857,253962,0.5000,72,66,26,-52,4,-22
857,254052,0.5000,71,67,26,-50,6,-22
857,254053,0.5000,72,67,26,-52,6,-22
857,254054,0.5000,73,67,26,-54,6,-22
857,254143,0.5000,71,68,26,-50,8,-22
857,254144,0.5000,72,68,26,-52,8,-22
857,254145,0.5000,73,68,26,-54,8,-22
857,254146,0.5000,74,68,26,-56,8,-22
857,254234,0.5000,71,69,26,-50,10,-22
857,254235,1.0000,72,69,26,-52,10,-22
857,254273,0.5000,19,70,26,54,12,-22
857,254325,0.5000,71,70,26,-50,12,-22
857,254326,0.5000,72,70,26,-52,12,-22
857,254415,0.5000,70,71,26,-48,14,-22
857,254416,0.5000,71,71,26,-50,14,-22
857,254417,0.5000,72,71,26,-52,14,-22
857,254505,0.5000,69,72,26,-46,16,-22
857,254506,0.5000,70,72,26,-48,16,-22
857,254507,0.5000,71,72,26,-50,16,-22
857,254596,0.5000,69,73,26,-46,18,-22
857,262919,0.5000,20,56,27,52,-16,-20
857,262920,1.0000,21,56,27,50,-16,-20
857,262921,1.0000,22,56,27,48,-16,-20
857,262922,1.0000,23,56,27,46,-16,-20
857,263010,1.0000,20,57,27,52,-14,-20
857,263011,1.0000,21,57,27,50,-14,-20
857,263012,1.0000,22,57,27,48,-14,-20
857,263101,0.5000,20,58,27,52,-12,-20
857,263102,0.5000,21,58,27,50,-12,-20
857,263103,0.5000,22,58,27,48,-12,-20
857,263151,1.0000,70,58,27,-48,-12,-20
857,263152,0.5000,71,58,27,-50,-12,-20
857,263193,1.0000,21,59,27,50,-10,-20
857,263194,0.5000,22,59,27,48,-10,-20
857,263242,1.0000,70,59,27,-48,-10,-20
857,263243,1.0000,71,59,27,-50,-10,-20
857,263284,1.0000,21,60,27,50,-8,-20
857,263285,0.5000,22,60,27,48,-8,-20
857,263332,0.5000,69,60,27,-46,-8,-20
857,263333,1.0000,70,60,27,-48,-8,-20
857,263334,1.0000,71,60,27,-50,-8,-20
857,263335,0.5000,72,60,27,-52,-8,-20
857,263423,0.5000,69,61,27,-46,-6,-20
857,263424,0.5000,70,61,27,-48,-6,-20
857,263425,0.5000,71,61,27,-50,-6,-20
857,263515,0.5000,70,62,27,-48,-4,-20
857,263556,0.5000,20,63,27,52,-2,-20
857,263647,0.5000,20,64,27,52,0,-20
857,263701,0.5000,74,64,27,-56,0,-20
857,263702,0.5000,75,64,27,-58,0,-20
857,263792,0.5000,74,65,27,-56,2,-20
857,263793,0.5000,75,65,27,-58,2,-20
857,263881,0.5000,72,66,27,-52,4,-20
857,263884,0.5000,75,66,27,-58,4,-20
857,263971,0.5000,71,67,27,-50,6,-20
857,263972,0.5000,72,67,27,-52,6,-20
857,263973,0.5000,73,67,27,-54,6,-20
857,263974,0.5000,74,67,27,-56,6,-20
857,264062,0.5000,71,68,27,-50,8,-20
857,264063,0.5000,72,68,27,-52,8,-20
857,264064,0.5000,73,68,27,-54,8,-20
857,264065,0.5000,74,68,27,-56,8,-20
857,264153,0.5000,71,69,27,-50,10,-20
857,264154,0.5000,72,69,27,-52,10,-20
857,264155,0.5000,73,69,27,-54,10,-20
857,264192,0.5000,19,70,27,54,12,-20
857,264244,0.5000,71,70,27,-50,12,-20
857,264245,1.0000,72,70,27,-52,12,-20
857,264246,0.5000,73,70,27,-54,12,-20
857,264335,0.5000,71,71,27,-50,14,-20
857,264336,0.5000,72,71,27,-52,14,-20
857,272747,1.0000,20,55,28,52,-18,-18
857,272748,1.0000,21,55,28,50,-18,-18
857,272749,1.0000,22,55,28,48,-18,-18
857,272837,1.0000,19,56,28,54,-16,-18
857,272838,1.0000,20,56,28,52,-16,-18
857,272839,1.0000,21,56,28,50,-16,-18
857,272840,1.0000,22,56,28,48,-16,-18
857,272841,1.0000,23,56,28,46,-16,-18
857,272888,0.5000,70,56,28,-48,-16,-18
857,272889,0.5000,71,56,28,-50,-16,-18
857,272927,0.5000,18,57,28,56,-14,-18
857,272928,1.0000,19,57,28,54,-14,-18
857,272929,1.0000,20,57,28,52,-14,-18
857,272930,1.0000,21,57,28,50,-14,-18
857,272931,1.0000,22,57,28,48,-14,-18
857,272979,1.0000,70,57,28,-48,-14,-18
857,272980,1.0000,71,57,28,-50,-14,-18
857,273018,0.5000,18,58,28,56,-12,-18
857,273019,1.0000,19,58,28,54,-12,-18
857,273020,1.0000,20,58,28,52,-12,-18
857,273021,1.0000,21,58,28,50,-12,-18
857,273022,0.5000,22,58,28,48,-12,-18
857,273070,1.0000,70,58,28,-48,-12,-18
857,273071,1.0000,71,58,28,-50,-12,-18
857,273110,0.5000,19,59,28,54,-10,-18
