ROI,Subject,Effect, LocalizerSize,EffectSize
1,212_FED_20170322a_3T2_PL2017,S, 37,1.757274
1,212_FED_20170322a_3T2_PL2017,N, 37,-0.555843
1,249_FED_20170417a_3T2_PL2017,S, 37,4.342211
1,249_FED_20170417a_3T2_PL2017,N, 37,0.800853
1,338_FED_20190123a_3T2_PL2017,S, 37,0.992265
1,338_FED_20190123a_3T2_PL2017,N, 37,-0.644379
1,426_FED_20170321b_3T2_PL2017,S, 37,8.943569
1,426_FED_20170321b_3T2_PL2017,N, 37,3.166997
1,551_FED_20170420b_3T2_PL2017,S, 37,-1.570119
1,551_FED_20170420b_3T2_PL2017,N, 37,-1.351095
1,553_FED_20170428d_3T2_PL2017,S, 37,1.490538
1,553_FED_20170428d_3T2_PL2017,N, 37,0.386629
1,584_FED_20190208a_3T2_PL2017,S, 37,3.262184
1,584_FED_20190208a_3T2_PL2017,N, 37,2.128799
1,602_FED_20170501b_3T2_PL2017,S, 37,-0.117815
1,602_FED_20170501b_3T2_PL2017,N, 37,-0.131865
1,604_FED_20170502b_3T2_PL2017,S, 37,1.926356
1,604_FED_20170502b_3T2_PL2017,N, 37,0.378803
1,605_FED_20170505a_3T2_PL2017,S, 37,4.110653
1,605_FED_20170505a_3T2_PL2017,N, 37,0.379090
1,606_FED_20170515a_3T2_PL2017,S, 37,0.686894
1,606_FED_20170515a_3T2_PL2017,N, 37,0.318817
1,673_FED_20190131c_3T2_PL2017,S, 37,-0.024550
1,673_FED_20190131c_3T2_PL2017,N, 37,0.002924
1,673_FED_20180720a_3T2_PL2017,S, 37,0.414405
1,673_FED_20180720a_3T2_PL2017,N, 37,0.053937
1,674_FED_20180720b_3T2_PL2017,S, 37,2.456256
1,674_FED_20180720b_3T2_PL2017,N, 37,0.296501
1,675_FED_20180726a_3T2_PL2017,S, 37,2.379101
1,675_FED_20180726a_3T2_PL2017,N, 37,0.664977
1,680_FED_20190131e_3T2_PL2017,S, 37,1.775281
1,680_FED_20190131e_3T2_PL2017,N, 37,0.577412
1,705_FED_20190117a_3T2_PL2017,S, 37,3.313745
1,705_FED_20190117a_3T2_PL2017,N, 37,1.558671
1,707_FED_20190117c_3T2_PL2017,S, 37,1.355355
1,707_FED_20190117c_3T2_PL2017,N, 37,-0.483745
1,709_FED_20190124a_3T2_PL2017,S, 37,1.218071
1,709_FED_20190124a_3T2_PL2017,N, 37,-0.558148
1,710_FED_20190124b_3T2_PL2017,S, 37,-0.429482
1,710_FED_20190124b_3T2_PL2017,N, 37,-0.106828
1,712_FED_20190124d_3T2_PL2017,S, 37,1.470894
1,712_FED_20190124d_3T2_PL2017,N, 37,-0.059425
1,714_FED_20190131a_3T2_PL2017,S, 37,0.959349
1,714_FED_20190131a_3T2_PL2017,N, 37,0.727219
1,715_FED_20190131b_3T2_PL2017,S, 37,0.769168
1,715_FED_20190131b_3T2_PL2017,N, 37,0.512607
1,716_FED_20190131d_3T2_PL2017,S, 37,6.050141
1,716_FED_20190131d_3T2_PL2017,N, 37,1.623154
1,717_FED_20190207a_3T2_PL2017,S, 37,2.722618
1,717_FED_20190207a_3T2_PL2017,N, 37,0.256556
1,718_FED_20190207b_3T2_PL2017,S, 37,1.560235
1,718_FED_20190207b_3T2_PL2017,N, 37,1.443222
1,719_FED_20190207c_3T2_PL2017,S, 37,1.100163
1,719_FED_20190207c_3T2_PL2017,N, 37,0.329178
1,720_FED_20190208b_3T2_PL2017,S, 37,2.091994
1,720_FED_20190208b_3T2_PL2017,N, 37,1.080850
1,721_FED_20190208c_3T2_PL2017,S, 37,0.534512
1,721_FED_20190208c_3T2_PL2017,N, 37,0.119818
1,722_FED_20190213a_3T2_PL2017,S, 37,0.285025
1,722_FED_20190213a_3T2_PL2017,N, 37,-0.618472
1,724_FED_20190214b_3T2_PL2017,S, 37,0.462794
1,724_FED_20190214b_3T2_PL2017,N, 37,0.083555
1,018_KAN_RHnonlit_09_PL2017,S, 37,2.218162
1,018_KAN_RHnonlit_09_PL2017,N, 37,0.934288
1,018_FED_20150817a_3T1_PL2017,S, 37,0.978399
1,018_FED_20150817a_3T1_PL2017,N, 37,0.670051
1,036_KAN_EvDB_20150501b_PL2017,S, 37,0.114112
1,036_KAN_EvDB_20150501b_PL2017,N, 37,0.099445
1,043_FED_20170630b_3T2_PL2017,S, 37,1.787454
1,043_FED_20170630b_3T2_PL2017,N, 37,-0.128250
1,045_FED_20160803a_3T1_PL2017,S, 37,2.625175
1,045_FED_20160803a_3T1_PL2017,N, 37,0.057876
1,045_FED_20160817a_3T2_PL2017,S, 37,2.559547
1,045_FED_20160817a_3T2_PL2017,N, 37,0.840973
