ROI,Effect,MeanEffect,StdEffect,StderrEffect
1,S,1.696420,1.200622,0.041012
1,N,0.443609,0.677358,0.023138
2,S,2.204108,1.250600,0.042720
2,N,0.628620,0.722600,0.024684
3,S,2.878217,1.571628,0.053686
3,N,1.176932,1.033516,0.035304
4,S,1.360796,0.714578,0.024410
4,N,0.145682,0.385046,0.013153
5,S,1.956840,0.919770,0.031419
5,N,0.523548,0.490663,0.016761
6,S,0.522070,0.804406,0.027478
6,N,-0.219410,0.609676,0.020826
7,S,0.755751,0.856044,0.029242
7,N,0.291710,0.604056,0.020634
8,S,0.945580,0.963379,0.032908
8,N,0.369728,0.647275,0.022110
9,S,0.979857,1.088777,0.037192
9,N,0.599107,0.769252,0.026277
10,S,0.927227,0.786401,0.026863
10,N,0.093201,0.478462,0.016344
11,S,0.914069,0.745135,0.025453
11,N,0.328812,0.451538,0.015424
12,S,0.011360,0.547972,0.018718
12,N,-0.150118,0.513273,0.017533
