ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,370,37,1.000000,0.443609,0.023138,19.172224,856.000000,0.000000,0.000000
2,743,74,1.000000,0.628620,0.024684,25.467173,856.000000,0.000000,0.000000
3,462,46,1.000000,1.176932,0.035304,33.336863,856.000000,0.000000,0.000000
4,1627,162,1.000000,0.145682,0.013153,11.075997,856.000000,0.000000,0.000000
5,2948,294,1.000000,0.523548,0.016761,31.236602,856.000000,0.000000,0.000000
6,644,64,1.000000,-0.219410,0.020826,-10.535327,856.000000,1.000000,1.000000
7,370,37,1.000000,0.291710,0.020634,14.137239,856.000000,0.000000,0.000000
8,743,74,1.000000,0.369728,0.022110,16.721844,856.000000,0.000000,0.000000
9,462,46,1.000000,0.599107,0.026277,22.799554,856.000000,0.000000,0.000000
10,1627,162,1.000000,0.093201,0.016344,5.702509,856.000000,0.000000,0.000000
11,2948,294,1.000000,0.328812,0.015424,21.317889,856.000000,0.000000,0.000000
12,644,64,1.000000,-0.150118,0.017533,-8.561990,856.000000,1.000000,1.000000
