ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;S],mean[1;N],stderr[1;S],stderr[1;N],T/F,dof,p,p-fdr
1,370,37,1.000000,1.696420,0.443609,0.041012,0.023138,899.505392,855.000000,0.000000,0.000000
2,743,74,1.000000,2.204108,0.628620,0.042720,0.024684,1404.387723,855.000000,0.000000,0.000000
3,462,46,1.000000,2.878217,1.176932,0.053686,0.035304,1491.098621,855.000000,0.000000,0.000000
4,1627,162,1.000000,1.360796,0.145682,0.024410,0.013153,1962.324012,855.000000,0.000000,0.000000
5,2948,294,1.000000,1.956840,0.523548,0.031419,0.016761,2105.680231,855.000000,0.000000,0.000000
6,644,64,1.000000,0.522070,-0.219410,0.027478,0.020826,461.281414,855.000000,0.000000,0.000000
7,370,37,1.000000,0.755751,0.291710,0.029242,0.020634,342.351601,855.000000,0.000000,0.000000
8,743,74,1.000000,0.945580,0.369728,0.032908,0.022110,418.542055,855.000000,0.000000,0.000000
9,462,46,1.000000,0.979857,0.599107,0.037192,0.026277,350.260533,855.000000,0.000000,0.000000
10,1627,162,1.000000,0.927227,0.093201,0.026863,0.016344,908.580309,855.000000,0.000000,0.000000
11,2948,294,1.000000,0.914069,0.328812,0.025453,0.015424,683.367166,855.000000,0.000000,0.000000
12,644,64,1.000000,0.011360,-0.150118,0.018718,0.017533,94.992945,855.000000,0.000000,0.000000
