subject,index,weight,i,j,k,x(mm),y(mm),z(mm)
3,214783,1.0000,23,72,22,46,16,-30
3,214784,0.6667,24,72,22,44,16,-30
3,224611,0.3333,23,71,23,46,14,-28
3,224701,0.3333,22,72,23,48,16,-28
3,224702,1.0000,23,72,23,46,16,-28
3,224703,1.0000,24,72,23,44,16,-28
3,224792,0.3333,22,73,23,48,18,-28
3,224793,0.6667,23,73,23,46,18,-28
3,224794,0.6667,24,73,23,44,18,-28
3,233849,0.3333,70,63,24,-48,-2,-26
3,234530,0.6667,23,71,24,46,14,-26
3,234531,0.3333,24,71,24,44,14,-26
3,234620,0.6667,22,72,24,48,16,-26
3,234621,1.0000,23,72,24,46,16,-26
3,234622,1.0000,24,72,24,44,16,-26
3,234711,0.3333,22,73,24,48,18,-26
3,234712,1.0000,23,73,24,46,18,-26
3,234713,1.0000,24,73,24,44,18,-26
3,234803,0.3333,23,74,24,46,20,-26
3,234804,0.3333,24,74,24,44,20,-26
3,243624,0.6667,17,62,25,58,-4,-24
3,243625,0.3333,18,62,25,56,-4,-24
3,243715,0.3333,17,63,25,58,-2,-24
3,243768,0.3333,70,63,25,-48,-2,-24
3,244448,0.6667,22,71,25,48,14,-24
3,244449,0.6667,23,71,25,46,14,-24
3,244539,0.6667,22,72,25,48,16,-24
3,244540,1.0000,23,72,25,46,16,-24
3,244541,0.3333,24,72,25,44,16,-24
3,244630,0.6667,22,73,25,48,18,-24
3,244631,0.6667,23,73,25,46,18,-24
3,244632,0.3333,24,73,25,44,18,-24
3,244721,0.6667,22,74,25,48,20,-24
3,244722,0.6667,23,74,25,46,20,-24
3,244723,0.3333,24,74,25,44,20,-24
3,253271,0.3333,18,59,26,56,-10,-22
3,253362,0.3333,18,60,26,56,-8,-22
3,253451,0.6667,16,61,26,60,-6,-22
3,253452,0.3333,17,61,26,58,-6,-22
3,253542,1.0000,16,62,26,60,-4,-22
3,253543,0.6667,17,62,26,58,-4,-22
3,253544,0.3333,18,62,26,56,-4,-22
3,253547,0.3333,21,62,26,50,-4,-22
3,253548,0.6667,22,62,26,48,-4,-22
3,253633,1.0000,16,63,26,60,-2,-22
3,253634,0.6667,17,63,26,58,-2,-22
3,253637,0.3333,20,63,26,52,-2,-22
3,253638,0.3333,21,63,26,50,-2,-22
3,253639,0.6667,22,63,26,48,-2,-22
3,253640,0.6667,23,63,26,46,-2,-22
3,253728,0.3333,20,64,26,52,0,-22
3,253729,0.3333,21,64,26,50,0,-22
3,253730,0.3333,22,64,26,48,0,-22
3,253999,0.3333,18,67,26,56,6,-22
3,254000,0.3333,19,67,26,54,6,-22
3,254367,0.6667,22,71,26,48,14,-22
3,254457,0.3333,21,72,26,50,16,-22
3,254458,0.6667,22,72,26,48,16,-22
3,254548,0.3333,21,73,26,50,18,-22
3,254549,0.3333,22,73,26,48,18,-22
3,254550,0.6667,23,73,26,46,18,-22
3,254551,0.3333,24,73,26,44,18,-22
3,254640,1.0000,22,74,26,48,20,-22
3,254641,1.0000,23,74,26,46,20,-22
3,254642,0.3333,24,74,26,44,20,-22
3,263370,0.6667,16,61,27,60,-6,-20
3,263371,0.6667,17,61,27,58,-6,-20
3,263461,1.0000,16,62,27,60,-4,-20
3,263462,0.6667,17,62,27,58,-4,-20
3,263465,0.3333,20,62,27,52,-4,-20
3,263466,0.6667,21,62,27,50,-4,-20
3,263467,0.6667,22,62,27,48,-4,-20
3,263468,0.3333,23,62,27,46,-4,-20
3,263552,1.0000,16,63,27,60,-2,-20
3,263553,0.6667,17,63,27,58,-2,-20
3,263556,0.3333,20,63,27,52,-2,-20
3,263557,1.0000,21,63,27,50,-2,-20
3,263558,1.0000,22,63,27,48,-2,-20
3,263559,0.6667,23,63,27,46,-2,-20
3,263643,1.0000,16,64,27,60,0,-20
3,263647,0.3333,20,64,27,52,0,-20
3,263648,0.3333,21,64,27,50,0,-20
3,263649,0.3333,22,64,27,48,0,-20
3,263650,0.6667,23,64,27,46,0,-20
3,263791,0.3333,73,65,27,-54,2,-20
3,263881,0.3333,72,66,27,-52,4,-20
3,263882,1.0000,73,66,27,-54,4,-20
3,263883,1.0000,74,66,27,-56,4,-20
3,263972,0.3333,72,67,27,-52,6,-20
3,263973,0.3333,73,67,27,-54,6,-20
3,264009,0.3333,18,68,27,56,8,-20
3,264010,0.3333,19,68,27,54,8,-20
3,264103,0.3333,21,69,27,50,10,-20
3,264376,0.3333,21,72,27,50,16,-20
3,264377,0.3333,22,72,27,48,16,-20
3,264467,0.3333,21,73,27,50,18,-20
3,264468,0.3333,22,73,27,48,18,-20
3,264469,0.3333,23,73,27,46,18,-20
3,264559,0.3333,22,74,27,48,20,-20
3,264560,1.0000,23,74,27,46,20,-20
3,272747,0.3333,20,55,28,52,-18,-18
3,272748,0.3333,21,55,28,50,-18,-18
3,272837,0.3333,19,56,28,54,-16,-18
3,272838,0.3333,20,56,28,52,-16,-18
3,272839,0.3333,21,56,28,50,-16,-18
3,272927,0.3333,18,57,28,56,-14,-18
3,272928,0.3333,19,57,28,54,-14,-18
3,272929,0.3333,20,57,28,52,-14,-18
3,273197,0.3333,15,60,28,62,-8,-18
3,273198,0.3333,16,60,28,60,-8,-18
3,273288,0.3333,15,61,28,62,-6,-18
3,273289,0.3333,16,61,28,60,-6,-18
3,273290,0.6667,17,61,28,58,-6,-18
3,273379,0.3333,15,62,28,62,-4,-18
3,273380,0.6667,16,62,28,60,-4,-18
3,273381,0.3333,17,62,28,58,-4,-18
3,273385,0.6667,21,62,28,50,-4,-18
3,273386,0.3333,22,62,28,48,-4,-18
3,273471,1.0000,16,63,28,60,-2,-18
