ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,370,37,1.000000,0.228312,0.210514,1.084543,2.000000,0.195729,0.335535
2,743,74,1.000000,0.107822,0.094793,1.137445,2.000000,0.186633,0.335535
3,462,46,1.000000,0.402074,0.354847,1.133091,2.000000,0.187363,0.335535
4,1627,162,1.000000,0.959806,0.112932,8.498968,2.000000,0.006782,0.081379
5,2948,294,1.000000,1.118865,0.772466,1.448432,2.000000,0.142246,0.335535
6,644,64,1.000000,0.360674,0.862669,0.418091,2.000000,0.358247,0.537371
7,370,37,1.000000,-0.061493,0.063309,-0.971320,2.000000,0.783076,0.795928
8,743,74,1.000000,-0.175629,0.169131,-1.038420,2.000000,0.795928,0.795928
9,462,46,1.000000,0.067770,0.250435,0.270607,2.000000,0.406031,0.541374
10,1627,162,1.000000,0.836769,0.205454,4.072780,2.000000,0.027665,0.165991
11,2948,294,1.000000,0.612704,0.263469,2.325524,2.000000,0.072793,0.291171
12,644,64,1.000000,-0.219307,0.325453,-0.673849,2.000000,0.715075,0.795928
