subject,index,weight,i,j,k,x(mm),y(mm),z(mm)
43,185026,0.7500,23,72,19,46,16,-36
43,185117,1.0000,23,73,19,46,18,-36
43,185209,1.0000,24,74,19,44,20,-36
43,194944,0.7500,22,72,20,48,16,-34
43,195035,0.7500,22,73,20,48,18,-34
43,195036,0.2500,23,73,20,46,18,-34
43,195219,1.0000,24,75,20,44,22,-34
43,195263,0.5000,68,75,20,-44,22,-34
43,204590,0.2500,22,69,21,48,10,-32
43,204591,0.2500,23,69,21,46,10,-32
43,204638,0.2500,70,69,21,-48,10,-32
43,204729,0.2500,70,70,21,-48,12,-32
43,204730,0.2500,71,70,21,-50,12,-32
43,204771,0.2500,21,71,21,50,14,-32
43,204862,0.7500,21,72,21,50,16,-32
43,204863,0.2500,22,72,21,48,16,-32
43,205093,0.7500,70,74,21,-48,20,-32
43,205138,0.7500,24,75,21,44,22,-32
43,205139,1.0000,25,75,21,42,22,-32
43,205181,0.7500,67,75,21,-42,22,-32
43,205182,0.7500,68,75,21,-44,22,-32
43,205183,0.5000,69,75,21,-46,22,-32
43,214466,0.2500,70,68,22,-48,8,-30
43,214467,0.2500,71,68,22,-50,8,-30
43,214557,0.7500,70,69,22,-48,10,-30
43,214558,0.5000,71,69,22,-50,10,-30
43,214559,0.2500,72,69,22,-52,10,-30
43,214648,0.5000,70,70,22,-48,12,-30
43,214649,0.7500,71,70,22,-50,12,-30
43,214650,0.2500,72,70,22,-52,12,-30
43,214690,0.2500,21,71,22,50,14,-30
43,214739,0.5000,70,71,22,-48,14,-30
43,214740,0.7500,71,71,22,-50,14,-30
43,214741,0.7500,72,71,22,-52,14,-30
43,214781,0.2500,21,72,22,50,16,-30
43,214830,0.5000,70,72,22,-48,16,-30
43,214831,1.0000,71,72,22,-50,16,-30
43,214832,1.0000,72,72,22,-52,16,-30
43,214872,0.2500,21,73,22,50,18,-30
43,214921,1.0000,70,73,22,-48,18,-30
43,214922,1.0000,71,73,22,-50,18,-30
43,215012,1.0000,70,74,22,-48,20,-30
43,215057,0.5000,24,75,22,44,22,-30
43,215058,0.7500,25,75,22,42,22,-30
43,215100,0.7500,67,75,22,-42,22,-30
43,215101,1.0000,68,75,22,-44,22,-30
43,215102,0.7500,69,75,22,-46,22,-30
43,223973,0.5000,22,64,23,48,0,-28
43,224064,0.2500,22,65,23,48,2,-28
43,224294,0.2500,70,67,23,-48,6,-28
43,224385,0.2500,70,68,23,-48,8,-28
43,224386,0.2500,71,68,23,-50,8,-28
43,224476,0.5000,70,69,23,-48,10,-28
43,224477,0.2500,71,69,23,-50,10,-28
43,224521,0.2500,24,70,23,44,12,-28
43,224567,0.5000,70,70,23,-48,12,-28
43,224568,0.7500,71,70,23,-50,12,-28
43,224569,0.2500,72,70,23,-52,12,-28
43,224608,0.2500,20,71,23,52,14,-28
43,224609,0.2500,21,71,23,50,14,-28
43,224611,0.2500,23,71,23,46,14,-28
43,224612,0.2500,24,71,23,44,14,-28
43,224659,0.7500,71,71,23,-50,14,-28
43,224660,1.0000,72,71,23,-52,14,-28
43,224699,0.2500,20,72,23,52,16,-28
43,224700,0.5000,21,72,23,50,16,-28
43,224701,0.2500,22,72,23,48,16,-28
43,224749,0.5000,70,72,23,-48,16,-28
43,224750,1.0000,71,72,23,-50,16,-28
43,224751,1.0000,72,72,23,-52,16,-28
43,224791,0.2500,21,73,23,50,18,-28
43,224840,0.7500,70,73,23,-48,18,-28
43,224841,1.0000,71,73,23,-50,18,-28
43,224931,0.7500,70,74,23,-48,20,-28
43,224976,0.2500,24,75,23,44,22,-28
