ROI,Subject,Effect, LocalizerSize,EffectSize
1,008_SWJNV2_01_PL2017,S, 37,0.848855
1,008_SWJNV2_01_PL2017,W, 37,0.395165
1,008_SWJNV2_01_PL2017,J, 37,0.074068
1,008_SWJNV2_01_PL2017,N, 37,-0.243380
1,009_SWJNV2_02_PL2017,S, 37,-0.365068
1,009_SWJNV2_02_PL2017,W, 37,-0.381190
1,009_SWJNV2_02_PL2017,J, 37,-0.331520
1,009_SWJNV2_02_PL2017,N, 37,-0.563864
1,010_SWJNV2_03_PL2017,S, 37,0.361039
1,010_SWJNV2_03_PL2017,W, 37,-0.189992
1,010_SWJNV2_03_PL2017,J, 37,-0.300281
1,010_SWJNV2_03_PL2017,N, 37,0.079847
1,011_SWJNV2_04_PL2017,S, 37,0.462284
1,011_SWJNV2_04_PL2017,W, 37,0.193780
1,011_SWJNV2_04_PL2017,J, 37,-0.297445
1,011_SWJNV2_04_PL2017,N, 37,-0.527400
1,012_SWJNV2_05_PL2017,S, 37,0.500319
1,012_SWJNV2_05_PL2017,W, 37,0.196942
1,012_SWJNV2_05_PL2017,J, 37,-0.165813
1,012_SWJNV2_05_PL2017,N, 37,-0.139747
1,013_SWJNV2_06_PL2017,S, 37,0.842986
1,013_SWJNV2_06_PL2017,W, 37,0.604603
1,013_SWJNV2_06_PL2017,J, 37,-0.153827
1,013_SWJNV2_06_PL2017,N, 37,-0.171239
1,014_SWJNV2_07_PL2017,S, 37,0.369763
1,014_SWJNV2_07_PL2017,W, 37,-0.812451
1,014_SWJNV2_07_PL2017,J, 37,-0.494728
1,014_SWJNV2_07_PL2017,N, 37,-0.689241
1,015_SWJNV2_08_PL2017,S, 37,0.796992
1,015_SWJNV2_08_PL2017,W, 37,0.542716
1,015_SWJNV2_08_PL2017,J, 37,0.297869
1,015_SWJNV2_08_PL2017,N, 37,0.499028
1,016_SWJNV2_09_PL2017,S, 37,1.232460
1,016_SWJNV2_09_PL2017,W, 37,1.319073
