ROI,Subject,Session/Partition,LocalizerSize
1,008_SWJNV2_01_PL2017,1,37
1,008_SWJNV2_01_PL2017,2,37
1,008_SWJNV2_01_PL2017,3,37
1,008_SWJNV2_01_PL2017,4,37
1,008_SWJNV2_01_PL2017,5,37
1,008_SWJNV2_01_PL2017,6,37
1,008_SWJNV2_01_PL2017,7,37
1,008_SWJNV2_01_PL2017,8,37
1,009_SWJNV2_02_PL2017,1,37
1,009_SWJNV2_02_PL2017,2,37
1,009_SWJNV2_02_PL2017,3,37
1,009_SWJNV2_02_PL2017,4,37
1,009_SWJNV2_02_PL2017,5,37
1,009_SWJNV2_02_PL2017,6,37
1,009_SWJNV2_02_PL2017,7,37
1,010_SWJNV2_03_PL2017,1,37
1,010_SWJNV2_03_PL2017,2,37
1,010_SWJNV2_03_PL2017,3,37
1,010_SWJNV2_03_PL2017,4,37
1,010_SWJNV2_03_PL2017,5,37
1,010_SWJNV2_03_PL2017,6,37
1,010_SWJNV2_03_PL2017,7,37
1,010_SWJNV2_03_PL2017,8,37
1,011_SWJNV2_04_PL2017,1,37
1,011_SWJNV2_04_PL2017,2,37
1,011_SWJNV2_04_PL2017,3,37
1,011_SWJNV2_04_PL2017,4,37
1,011_SWJNV2_04_PL2017,5,37
1,011_SWJNV2_04_PL2017,6,37
1,011_SWJNV2_04_PL2017,7,37
1,011_SWJNV2_04_PL2017,8,37
1,012_SWJNV2_05_PL2017,1,37
1,012_SWJNV2_05_PL2017,2,37
1,012_SWJNV2_05_PL2017,3,37
1,012_SWJNV2_05_PL2017,4,37
1,012_SWJNV2_05_PL2017,5,37
1,012_SWJNV2_05_PL2017,6,37
1,012_SWJNV2_05_PL2017,7,37
1,012_SWJNV2_05_PL2017,8,37
1,013_SWJNV2_06_PL2017,1,37
1,013_SWJNV2_06_PL2017,2,37
1,013_SWJNV2_06_PL2017,3,37
1,013_SWJNV2_06_PL2017,4,37
1,013_SWJNV2_06_PL2017,5,37
1,013_SWJNV2_06_PL2017,6,37
1,013_SWJNV2_06_PL2017,7,37
1,013_SWJNV2_06_PL2017,8,37
1,014_SWJNV2_07_PL2017,1,37
1,014_SWJNV2_07_PL2017,2,37
1,014_SWJNV2_07_PL2017,3,37
1,014_SWJNV2_07_PL2017,4,37
1,014_SWJNV2_07_PL2017,5,37
1,014_SWJNV2_07_PL2017,6,37
1,014_SWJNV2_07_PL2017,7,37
1,014_SWJNV2_07_PL2017,8,37
1,015_SWJNV2_08_PL2017,1,37
1,015_SWJNV2_08_PL2017,2,37
1,015_SWJNV2_08_PL2017,3,37
1,015_SWJNV2_08_PL2017,4,37
1,015_SWJNV2_08_PL2017,5,37
1,015_SWJNV2_08_PL2017,6,37
1,016_SWJNV2_09_PL2017,1,37
1,016_SWJNV2_09_PL2017,2,37
1,016_SWJNV2_09_PL2017,3,37
1,016_SWJNV2_09_PL2017,4,37
1,016_SWJNV2_09_PL2017,5,37
1,016_SWJNV2_09_PL2017,6,37
