ROI,Subject,Weight
1,008_SWJNV2_01_PL2017,1.000000
1,009_SWJNV2_02_PL2017,1.000000
1,010_SWJNV2_03_PL2017,1.000000
1,011_SWJNV2_04_PL2017,1.000000
1,012_SWJNV2_05_PL2017,1.000000
1,013_SWJNV2_06_PL2017,1.000000
1,014_SWJNV2_07_PL2017,1.000000
1,015_SWJNV2_08_PL2017,1.000000
1,016_SWJNV2_09_PL2017,1.000000
1,018_SWJNV2_10_PL2017,1.000000
1,020_SWJNV2_12_PL2017,1.000000
1,021_SWJNaudio_04_PL2017,1.000000
1,022_SWJNaudio_06_PL2017,1.000000
1,023_SWJNaudio_07_PL2017,1.000000
1,024_SWJNaudio_08_PL2017,1.000000
1,024_SWJNV2_13_PL2017,1.000000
1,025_SWJNV2_15_PL2017,1.000000
1,026_SWJNaudio_11_PL2017,1.000000
1,027_SWJNaudio_12_PL2017,1.000000
1,028_SWJNaudio_13_PL2017,1.000000
1,029_SWJNaudio_14_PL2017,1.000000
1,030_SWJNaudio_15_PL2017,1.000000
1,031_SWJNaudio_16_PL2017,1.000000
1,032_SWJNaudio_17_PL2017,1.000000
1,033_SWJNaudio_18_PL2017,1.000000
1,001_SWJN_01_PL2017,1.000000
1,002_SWJN_05_PL2017,1.000000
1,003_SWJN_07_PL2017,1.000000
1,004_SWJN_09_PL2017,1.000000
1,005_SWJN_11_PL2017,1.000000
1,006_SWJN_12_PL2017,1.000000
1,007_SWJN_13_PL2017,1.000000
1,021_SWJNaudio_04_PL2017,1.000000
1,022_SWJNaudio_06_PL2017,1.000000
1,023_SWJNaudio_07_PL2017,1.000000
1,024_SWJNaudio_08_PL2017,1.000000
1,026_SWJNaudio_11_PL2017,1.000000
1,027_SWJNaudio_12_PL2017,1.000000
1,028_SWJNaudio_13_PL2017,1.000000
1,030_SWJNaudio_15_PL2017,1.000000
1,031_SWJNaudio_16_PL2017,1.000000
1,032_SWJNaudio_17_PL2017,1.000000
1,033_SWJNaudio_18_PL2017,1.000000
2,008_SWJNV2_01_PL2017,1.000000
2,009_SWJNV2_02_PL2017,1.000000
2,010_SWJNV2_03_PL2017,1.000000
2,011_SWJNV2_04_PL2017,1.000000
2,012_SWJNV2_05_PL2017,1.000000
2,013_SWJNV2_06_PL2017,1.000000
2,014_SWJNV2_07_PL2017,1.000000
2,015_SWJNV2_08_PL2017,1.000000
2,016_SWJNV2_09_PL2017,1.000000
2,018_SWJNV2_10_PL2017,1.000000
2,020_SWJNV2_12_PL2017,1.000000
2,021_SWJNaudio_04_PL2017,1.000000
2,022_SWJNaudio_06_PL2017,1.000000
2,023_SWJNaudio_07_PL2017,1.000000
2,024_SWJNaudio_08_PL2017,1.000000
2,024_SWJNV2_13_PL2017,1.000000
2,025_SWJNV2_15_PL2017,1.000000
2,026_SWJNaudio_11_PL2017,1.000000
2,027_SWJNaudio_12_PL2017,1.000000
2,028_SWJNaudio_13_PL2017,1.000000
2,029_SWJNaudio_14_PL2017,1.000000
2,030_SWJNaudio_15_PL2017,1.000000
2,031_SWJNaudio_16_PL2017,1.000000
2,032_SWJNaudio_17_PL2017,1.000000
2,033_SWJNaudio_18_PL2017,1.000000
2,001_SWJN_01_PL2017,1.000000
2,002_SWJN_05_PL2017,1.000000
2,003_SWJN_07_PL2017,1.000000
2,004_SWJN_09_PL2017,1.000000
2,005_SWJN_11_PL2017,1.000000
2,006_SWJN_12_PL2017,1.000000
2,007_SWJN_13_PL2017,1.000000
2,021_SWJNaudio_04_PL2017,1.000000
2,022_SWJNaudio_06_PL2017,1.000000
2,023_SWJNaudio_07_PL2017,1.000000
2,024_SWJNaudio_08_PL2017,1.000000
2,026_SWJNaudio_11_PL2017,1.000000
2,027_SWJNaudio_12_PL2017,1.000000
2,028_SWJNaudio_13_PL2017,1.000000
2,030_SWJNaudio_15_PL2017,1.000000
2,031_SWJNaudio_16_PL2017,1.000000
2,032_SWJNaudio_17_PL2017,1.000000
2,033_SWJNaudio_18_PL2017,1.000000
3,008_SWJNV2_01_PL2017,1.000000
3,009_SWJNV2_02_PL2017,1.000000
3,010_SWJNV2_03_PL2017,1.000000
3,011_SWJNV2_04_PL2017,1.000000
3,012_SWJNV2_05_PL2017,1.000000
3,013_SWJNV2_06_PL2017,1.000000
3,014_SWJNV2_07_PL2017,1.000000
3,015_SWJNV2_08_PL2017,1.000000
3,016_SWJNV2_09_PL2017,1.000000
3,018_SWJNV2_10_PL2017,1.000000
3,020_SWJNV2_12_PL2017,1.000000
3,021_SWJNaudio_04_PL2017,1.000000
3,022_SWJNaudio_06_PL2017,1.000000
3,023_SWJNaudio_07_PL2017,1.000000
3,024_SWJNaudio_08_PL2017,1.000000
3,024_SWJNV2_13_PL2017,1.000000
3,025_SWJNV2_15_PL2017,1.000000
3,026_SWJNaudio_11_PL2017,1.000000
3,027_SWJNaudio_12_PL2017,1.000000
3,028_SWJNaudio_13_PL2017,1.000000
3,029_SWJNaudio_14_PL2017,1.000000
3,030_SWJNaudio_15_PL2017,1.000000
3,031_SWJNaudio_16_PL2017,1.000000
3,032_SWJNaudio_17_PL2017,1.000000
3,033_SWJNaudio_18_PL2017,1.000000
3,001_SWJN_01_PL2017,1.000000
3,002_SWJN_05_PL2017,1.000000
3,003_SWJN_07_PL2017,1.000000
3,004_SWJN_09_PL2017,1.000000
