ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,370,37,1.000000,0.516502,0.099616,5.184924,42.000000,0.000003,0.000012
2,743,74,1.000000,0.655698,0.097824,6.702845,42.000000,0.000000,0.000000
3,462,46,1.000000,0.853600,0.134438,6.349397,42.000000,0.000000,0.000000
4,1627,162,1.000000,0.222253,0.076783,2.894558,42.000000,0.003000,0.007199
5,2948,294,1.000000,0.480751,0.106034,4.533936,42.000000,0.000024,0.000071
6,644,64,1.000000,-0.592438,0.151848,-3.901505,42.000000,0.999830,0.999830
7,370,37,1.000000,0.146789,0.066747,2.199168,42.000000,0.016712,0.028650
8,743,72,0.976744,0.141394,0.071435,1.979352,41.000000,0.027259,0.040888
9,462,45,0.976744,0.186074,0.075762,2.456043,41.000000,0.009187,0.018373
10,1627,162,1.000000,0.071406,0.067570,1.056767,42.000000,0.148329,0.177995
11,2948,294,1.000000,0.122893,0.095903,1.281428,42.000000,0.103537,0.138049
12,644,64,1.000000,-0.311338,0.097110,-3.206030,42.000000,0.998713,0.999830
