ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;S],mean[1;W],mean[1;J],mean[1;N],stderr[1;S],stderr[1;W],stderr[1;J],stderr[1;N],T/F,dof,p,p-fdr
1,370,37,1.000000,1.152506,0.694736,0.516502,0.288463,0.113290,0.097526,0.099616,0.095121,33.932468,39.000000,0.000000,0.000000
2,743,74,1.000000,1.189520,0.825489,0.655698,0.417072,0.112023,0.099429,0.097824,0.095714,42.762011,39.000000,0.000000,0.000000
3,462,46,1.000000,1.328055,0.977195,0.853600,0.636915,0.155582,0.124418,0.134438,0.122161,20.040944,39.000000,0.000000,0.000000
4,1627,162,1.000000,0.855383,0.373102,0.222253,0.079760,0.091736,0.069498,0.076783,0.066215,36.317136,39.000000,0.000000,0.000000
5,2948,294,1.000000,1.307187,0.731868,0.480751,0.276648,0.115852,0.097907,0.106034,0.096897,50.536818,39.000000,0.000000,0.000000
6,644,64,1.000000,0.306119,-0.292781,-0.592438,-0.670030,0.117713,0.117830,0.151848,0.141282,19.992147,39.000000,0.000000,0.000000
7,370,37,1.000000,0.294179,0.157575,0.146789,0.070244,0.072845,0.063319,0.066747,0.065120,5.468744,39.000000,0.001357,0.001481
8,743,72,0.976744,0.338124,0.214352,0.141394,0.092632,0.077107,0.072093,0.071435,0.067252,5.950155,38.000000,0.000807,0.000969
9,462,45,0.976744,0.305018,0.211136,0.186074,0.139112,0.077158,0.077489,0.075762,0.077636,4.707354,38.000000,0.003484,0.003484
10,1627,162,1.000000,0.450815,0.162113,0.071406,-0.010196,0.077272,0.066181,0.067570,0.063752,24.029842,39.000000,0.000000,0.000000
11,2948,294,1.000000,0.567742,0.293646,0.122893,0.087860,0.115822,0.098549,0.095903,0.091057,18.194046,39.000000,0.000000,0.000000
12,644,64,1.000000,-0.021890,-0.208277,-0.311338,-0.350610,0.098319,0.090512,0.097110,0.089115,8.930698,39.000000,0.000032,0.000043
