ROI,Subject,Effect, LocalizerSize,EffectSize
1,017_domspec_09_PL2017,S, 37,2.360679
1,017_domspec_09_PL2017,W, 37,1.988305
1,017_domspec_09_PL2017,N, 37,1.564552
1,019_KAN_langevents_08_PL2017,S, 37,1.115644
1,019_KAN_langevents_08_PL2017,W, 37,0.455962
1,019_KAN_langevents_08_PL2017,N, 37,0.245704
1,019_KAN_langmus_05_PL2017,S, 37,1.558738
1,019_KAN_langmus_05_PL2017,W, 37,-0.176286
1,019_KAN_langmus_05_PL2017,N, 37,-0.634903
1,019_KAN_domspec_03_PL2017,S, 37,0.057495
1,019_KAN_domspec_03_PL2017,W, 37,-0.504847
1,019_KAN_domspec_03_PL2017,N, 37,-0.719250
1,021_domspec_10_PL2017,S, 37,1.875097
1,021_domspec_10_PL2017,W, 37,1.414102
1,021_domspec_10_PL2017,N, 37,0.693878
1,023_langmus_07_PL2017,S, 37,1.483504
1,023_langmus_07_PL2017,W, 37,1.296867
1,023_langmus_07_PL2017,N, 37,0.341698
1,030_KAN_langstroopBL_11_PL2017,S, 37,3.100972
1,030_KAN_langstroopBL_11_PL2017,W, 37,2.401783
1,030_KAN_langstroopBL_11_PL2017,N, 37,1.193717
1,034_domspec_01_PL2017,S, 37,4.327566
1,034_domspec_01_PL2017,W, 37,3.676419
1,034_domspec_01_PL2017,N, 37,1.503709
1,035_domspec_04_PL2017,S, 37,-0.339013
1,035_domspec_04_PL2017,W, 37,-0.317165
1,035_domspec_04_PL2017,N, 37,-0.332090
1,036_KAN_domspec_05_PL2017,S, 37,0.081798
1,036_KAN_domspec_05_PL2017,W, 37,0.184129
1,036_KAN_domspec_05_PL2017,N, 37,0.444867
1,037_domspec_06_PL2017,S, 37,0.865655
1,037_domspec_06_PL2017,W, 37,0.829776
1,037_domspec_06_PL2017,N, 37,-0.131620
1,038_domspec_07_PL2017,S, 37,1.952077
1,038_domspec_07_PL2017,W, 37,0.495034
1,038_domspec_07_PL2017,N, 37,0.738785
1,039_domspec_08_PL2017,S, 37,0.109547
1,039_domspec_08_PL2017,W, 37,-0.305734
1,039_domspec_08_PL2017,N, 37,-0.498256
1,040_domspec_11_PL2017,S, 37,1.292039
1,040_domspec_11_PL2017,W, 37,0.933730
1,040_domspec_11_PL2017,N, 37,0.533872
1,040_KAN_langevents_01_PL2017,S, 37,1.043317
1,040_KAN_langevents_01_PL2017,W, 37,0.673747
1,040_KAN_langevents_01_PL2017,N, 37,0.851698
1,040_KAN_langstroop_05_PL2017,S, 37,0.245667
1,040_KAN_langstroop_05_PL2017,W, 37,0.032118
1,040_KAN_langstroop_05_PL2017,N, 37,-0.094068
1,041_KAN_domspec_12_PL2017,S, 37,0.779505
1,041_KAN_domspec_12_PL2017,W, 37,0.749603
1,041_KAN_domspec_12_PL2017,N, 37,0.327696
1,042_domspec_13_PL2017,S, 37,1.295003
1,042_domspec_13_PL2017,W, 37,0.089381
1,042_domspec_13_PL2017,N, 37,0.062518
1,043_langmus_01_PL2017,S, 37,0.763223
1,043_langmus_01_PL2017,W, 37,0.761868
1,043_langmus_01_PL2017,N, 37,-0.007545
1,044_langmus_02_PL2017,S, 37,0.027793
1,044_langmus_02_PL2017,W, 37,0.171125
1,044_langmus_02_PL2017,N, 37,0.345569
1,045_langmus_06_PL2017,S, 37,3.789740
1,045_langmus_06_PL2017,W, 37,2.598808
1,045_langmus_06_PL2017,N, 37,1.821776
1,046_KAN_langmus_08_PL2017,S, 37,1.217115
1,046_KAN_langmus_08_PL2017,W, 37,0.631631
1,046_KAN_langmus_08_PL2017,N, 37,0.330568
1,046_KAN_langstroop_01_PL2017,S, 37,1.886717
1,046_KAN_langstroop_01_PL2017,W, 37,1.349126
1,046_KAN_langstroop_01_PL2017,N, 37,0.758584
1,047_KAN_syntax_12_PL2017,S, 37,1.069449
1,047_KAN_syntax_12_PL2017,W, 37,0.836568
1,047_KAN_syntax_12_PL2017,N, 37,0.014540
1,047_langmus_09_PL2017,S, 37,0.771058
1,047_langmus_09_PL2017,W, 37,0.773482
1,047_langmus_09_PL2017,N, 37,0.390585
1,048_KAN_syntax_08_PL2017,S, 37,0.769799
1,048_KAN_syntax_08_PL2017,W, 37,0.818293
1,048_KAN_syntax_08_PL2017,N, 37,0.102214
1,048_langmus_10_PL2017,S, 37,1.050753
1,048_langmus_10_PL2017,W, 37,1.427796
1,048_langmus_10_PL2017,N, 37,-0.037718
1,049_KAN_langmus_11_PL2017,S, 37,2.818840
1,049_KAN_langmus_11_PL2017,W, 37,1.757500
1,049_KAN_langmus_11_PL2017,N, 37,0.973095
1,050_KAN_langmus_12_PL2017,S, 37,0.138017
1,050_KAN_langmus_12_PL2017,W, 37,0.359011
1,050_KAN_langmus_12_PL2017,N, 37,-0.258983
1,050_KAN_syntax_05_PL2017,S, 37,0.559515
1,050_KAN_syntax_05_PL2017,W, 37,0.169558
1,050_KAN_syntax_05_PL2017,N, 37,-0.196443
1,051_langmus_13_PL2017,S, 37,0.518469
1,051_langmus_13_PL2017,W, 37,-0.422284
1,051_langmus_13_PL2017,N, 37,-0.501877
1,052_langmus_14_PL2017,S, 37,0.914036
1,052_langmus_14_PL2017,W, 37,0.574002
1,052_langmus_14_PL2017,N, 37,-0.167969
1,054_KAN_langstroop_02_PL2017,S, 37,1.254146
1,054_KAN_langstroop_02_PL2017,W, 37,1.172177
1,054_KAN_langstroop_02_PL2017,N, 37,0.520707
1,056_KAN_langstroop_04_PL2017,S, 37,1.958126
1,056_KAN_langstroop_04_PL2017,W, 37,1.205384
1,056_KAN_langstroop_04_PL2017,N, 37,0.863586
1,056_KAN_langevents_05_PL2017,S, 37,0.602791
1,056_KAN_langevents_05_PL2017,W, 37,-0.090315
1,056_KAN_langevents_05_PL2017,N, 37,-0.052411
1,057_KAN_langevents_02_PL2017,S, 37,1.187661
1,057_KAN_langevents_02_PL2017,W, 37,1.662207
1,057_KAN_langevents_02_PL2017,N, 37,-0.339565
1,058_domspec_14_PL2017,S, 37,1.406626
1,058_domspec_14_PL2017,W, 37,1.196125
1,058_domspec_14_PL2017,N, 37,0.843524
1,059_KAN_langevents_04_PL2017,S, 37,0.612163
1,059_KAN_langevents_04_PL2017,W, 37,0.395544
1,059_KAN_langevents_04_PL2017,N, 37,-0.105833
1,060_domspec_15_PL2017,S, 37,1.261039
1,060_domspec_15_PL2017,W, 37,0.781182
1,060_domspec_15_PL2017,N, 37,-0.065135
1,061_KAN_lingviol_02_PL2017,S, 37,0.820605
1,061_KAN_lingviol_02_PL2017,W, 37,0.801494
1,061_KAN_lingviol_02_PL2017,N, 37,0.236326
1,061_KAN_stories_05_PL2017,S, 37,0.489875
1,061_KAN_stories_05_PL2017,W, 37,0.493330
1,061_KAN_stories_05_PL2017,N, 37,-0.161336
1,061_KAN_syntax_07_PL2017,S, 37,1.580626
1,061_KAN_syntax_07_PL2017,W, 37,1.179532
1,061_KAN_syntax_07_PL2017,N, 37,0.683064
1,061_KAN_langstroopBL_05_PL2017,S, 37,2.015024
1,061_KAN_langstroopBL_05_PL2017,W, 37,1.735579
1,061_KAN_langstroopBL_05_PL2017,N, 37,0.855360
1,062_KAN_langstroopBL_06_PL2017,S, 37,0.330649
1,062_KAN_langstroopBL_06_PL2017,W, 37,-0.173356
1,062_KAN_langstroopBL_06_PL2017,N, 37,-0.925122
1,063_KAN_langstroopBL_07_PL2017,S, 37,1.754827
1,063_KAN_langstroopBL_07_PL2017,W, 37,0.993049
1,063_KAN_langstroopBL_07_PL2017,N, 37,0.249426
1,064_KAN_langstroopBL_08_PL2017,S, 37,0.872456
1,064_KAN_langstroopBL_08_PL2017,W, 37,0.956230
1,064_KAN_langstroopBL_08_PL2017,N, 37,0.454716
1,065_KAN_langstroopBL_09_PL2017,S, 37,1.577808
1,065_KAN_langstroopBL_09_PL2017,W, 37,1.069462
1,065_KAN_langstroopBL_09_PL2017,N, 37,0.179549
1,066_KAN_langstroopBL_10_PL2017,S, 37,0.921082
1,066_KAN_langstroopBL_10_PL2017,W, 37,0.408174
1,066_KAN_langstroopBL_10_PL2017,N, 37,-0.205039
1,067_KAN_langevents_06_PL2017,S, 37,0.408391
1,067_KAN_langevents_06_PL2017,W, 37,-0.091138
