ROI,Subject,Weight
1,017_domspec_09_PL2017,1.000000
1,019_KAN_langevents_08_PL2017,1.000000
1,019_KAN_langmus_05_PL2017,1.000000
1,019_KAN_domspec_03_PL2017,1.000000
1,021_domspec_10_PL2017,1.000000
1,023_langmus_07_PL2017,1.000000
1,030_KAN_langstroopBL_11_PL2017,1.000000
1,034_domspec_01_PL2017,1.000000
1,035_domspec_04_PL2017,1.000000
1,036_KAN_domspec_05_PL2017,1.000000
1,037_domspec_06_PL2017,1.000000
1,038_domspec_07_PL2017,1.000000
1,039_domspec_08_PL2017,1.000000
1,040_domspec_11_PL2017,1.000000
1,040_KAN_langevents_01_PL2017,1.000000
1,040_KAN_langstroop_05_PL2017,1.000000
1,041_KAN_domspec_12_PL2017,1.000000
1,042_domspec_13_PL2017,1.000000
1,043_langmus_01_PL2017,1.000000
1,044_langmus_02_PL2017,1.000000
1,045_langmus_06_PL2017,1.000000
1,046_KAN_langmus_08_PL2017,1.000000
1,046_KAN_langstroop_01_PL2017,1.000000
1,047_KAN_syntax_12_PL2017,1.000000
1,047_langmus_09_PL2017,1.000000
1,048_KAN_syntax_08_PL2017,1.000000
1,048_langmus_10_PL2017,1.000000
1,049_KAN_langmus_11_PL2017,1.000000
1,050_KAN_langmus_12_PL2017,1.000000
1,050_KAN_syntax_05_PL2017,1.000000
1,051_langmus_13_PL2017,1.000000
1,052_langmus_14_PL2017,1.000000
1,054_KAN_langstroop_02_PL2017,1.000000
1,056_KAN_langstroop_04_PL2017,1.000000
1,056_KAN_langevents_05_PL2017,1.000000
1,057_KAN_langevents_02_PL2017,1.000000
1,058_domspec_14_PL2017,1.000000
1,059_KAN_langevents_04_PL2017,1.000000
1,060_domspec_15_PL2017,1.000000
1,061_KAN_lingviol_02_PL2017,1.000000
1,061_KAN_stories_05_PL2017,1.000000
1,061_KAN_syntax_07_PL2017,1.000000
1,061_KAN_langstroopBL_05_PL2017,1.000000
1,062_KAN_langstroopBL_06_PL2017,1.000000
1,063_KAN_langstroopBL_07_PL2017,1.000000
1,064_KAN_langstroopBL_08_PL2017,1.000000
