ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,370,37,1.000000,0.695149,0.176265,3.943783,120.000000,0.000068,0.000163
2,743,74,1.000000,1.024845,0.189449,5.409608,120.000000,0.000000,0.000000
3,462,46,1.000000,1.238118,0.189340,6.539120,120.000000,0.000000,0.000000
4,1627,162,1.000000,0.404831,0.059585,6.794198,120.000000,0.000000,0.000000
5,2948,294,1.000000,1.035260,0.100956,10.254601,120.000000,0.000000,0.000000
6,644,64,1.000000,-0.171107,0.067244,-2.544549,120.000000,0.993895,0.999967
7,370,37,1.000000,0.262018,0.150887,1.736517,120.000000,0.042519,0.063779
8,743,74,1.000000,0.238413,0.128305,1.858179,120.000000,0.032797,0.056224
9,462,46,1.000000,0.238374,0.167806,1.420530,120.000000,0.079023,0.105364
10,1627,162,1.000000,0.057285,0.110576,0.518059,120.000000,0.302686,0.363223
11,2948,294,1.000000,0.261155,0.087936,2.969814,120.000000,0.001800,0.003600
12,644,64,1.000000,-0.539318,0.130371,-4.136803,120.000000,0.999967,0.999967
