ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;S],mean[1;W],mean[1;N],stderr[1;S],stderr[1;W],stderr[1;N],T/F,dof,p,p-fdr
1,370,37,1.000000,1.155119,0.695149,0.152142,0.251919,0.176265,0.171021,61.605690,118.000000,0.000000,0.000000
2,743,74,1.000000,1.565952,1.024845,0.317509,0.255911,0.189449,0.201149,95.268335,118.000000,0.000000,0.000000
3,462,46,1.000000,1.788344,1.238118,0.593817,0.213004,0.189340,0.195725,89.733081,118.000000,0.000000,0.000000
4,1627,162,1.000000,0.980170,0.404831,-0.029547,0.058743,0.059585,0.052790,169.092828,118.000000,0.000000,0.000000
5,2948,294,1.000000,1.598298,1.035260,0.372997,0.109499,0.100956,0.098810,214.864956,118.000000,0.000000,0.000000
6,644,64,1.000000,0.407441,-0.171107,-0.671181,0.076841,0.067244,0.066269,103.393271,118.000000,0.000000,0.000000
7,370,37,1.000000,0.544362,0.262018,0.052263,0.121698,0.150887,0.143562,27.310401,118.000000,0.000000,0.000000
8,743,74,1.000000,0.467490,0.238413,-0.088953,0.158860,0.128305,0.132800,28.610808,118.000000,0.000000,0.000000
9,462,46,1.000000,0.260078,0.238374,0.070184,0.218184,0.167806,0.187466,11.424326,118.000000,0.000001,0.000001
10,1627,162,1.000000,0.514253,0.057285,-0.259089,0.110281,0.110576,0.138902,79.559518,118.000000,0.000000,0.000000
11,2948,294,1.000000,0.578579,0.261155,-0.013069,0.091837,0.087936,0.087777,56.787020,118.000000,0.000000,0.000000
12,644,64,1.000000,-0.327119,-0.539318,-0.683522,0.138377,0.130371,0.128385,46.671490,118.000000,0.000000,0.000000
