ROI,average ROI size,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,370,0.807754,0.015339,52.659482,1023.000000,0.000000,0.000000
2,743,0.982263,0.014027,70.026297,1023.000000,0.000000,0.000000
3,462,1.087353,0.016004,67.943006,1023.000000,0.000000,0.000000
4,1627,0.911727,0.012668,71.968887,1023.000000,0.000000,0.000000
5,2948,1.120244,0.013065,85.746736,1023.000000,0.000000,0.000000
6,644,0.762279,0.017585,43.349429,1023.000000,0.000000,0.000000
7,370,0.487085,0.014644,33.262475,1023.000000,0.000000,0.000000
8,743,0.616537,0.014706,41.925302,1023.000000,0.000000,0.000000
9,462,0.545057,0.016886,32.279152,1023.000000,0.000000,0.000000
10,1627,0.642077,0.012481,51.443488,1023.000000,0.000000,0.000000
11,2948,0.612645,0.013276,46.145503,1023.000000,0.000000,0.000000
12,644,0.374788,0.014974,25.029826,1023.000000,0.000000,0.000000
