uniqueID,subject,label
718,subj_001,Right
722,subj_002,Right
602,subj_003,Right
604,subj_004,Right
605,subj_005,Right
606,subj_006,Right
673,subj_007,Right
674,subj_008,Right
675,subj_009,Right
707,subj_010,Right
709,subj_011,Right
712,subj_012,Right
714,subj_013,Right
715,subj_014,Right
716,subj_015,Right
717,subj_016,Right
719,subj_017,Right
720,subj_018,Right
723,subj_019,Right
710,subj_020,Right
150,subj_021,Right
186,subj_022,Right
205,subj_023,Right
210,subj_024,Right
214,subj_025,Right
230,subj_026,Right
244,subj_027,Right
337,subj_028,Left
824,subj_029,Right
195,subj_030,Right
250,subj_031,Right
372,subj_032,Right
676,subj_033,Right
618,subj_034,Right
666,subj_035,Right
018,subj_036,Left
036,subj_037,Right
043,subj_038,Right
045,subj_039,Right
050,subj_040,Right
055,subj_041,0
097,subj_042,Right
135,subj_043,Right
149,subj_044,Right
152,subj_045,Right
168,subj_046,Right
175,subj_047,Right
181,subj_048,Right
182,subj_049,Right
183,subj_050,Left
185,subj_051,Amb
187,subj_052,Left
188,subj_053,Right
189,subj_054,Right
191,subj_055,Right
192,subj_056,Right
193,subj_057,Right
194,subj_058,Right
196,subj_059,Right
197,subj_060,Right
198,subj_061,Right
199,subj_062,Right
200,subj_063,Right
201,subj_064,Right
202,subj_065,Right
203,subj_066,Right
204,subj_067,Right
206,subj_068,Left
207,subj_069,Right
208,subj_070,Right
209,subj_071,Amb
211,subj_072,Right
212,subj_073,Right
213,subj_074,Right
215,subj_075,Amb
216,subj_076,Amb
217,subj_077,Right
218,subj_078,Left
219,subj_079,Right
220,subj_080,Right
221,subj_081,Right
222,subj_082,Right
223,subj_083,Right
224,subj_084,Right
225,subj_085,Right
226,subj_086,Right
227,subj_087,Right
228,subj_088,Right
229,subj_089,Right
231,subj_090,Right
232,subj_091,Right
233,subj_092,Right
234,subj_093,Right
235,subj_094,Right
236,subj_095,Right
237,subj_096,Right
238,subj_097,Right
239,subj_098,Left
240,subj_099,Right
241,subj_100,Right
242,subj_101,Right
243,subj_102,Right
245,subj_103,Right
246,subj_104,Right
247,subj_105,Right
248,subj_106,Right
249,subj_107,Right
251,subj_108,Right
252,subj_109,Right
253,subj_110,Right
254,subj_111,Right
255,subj_112,Right
256,subj_113,Right
257,subj_114,Right
258,subj_115,Right
259,subj_116,Right
261,subj_117,Right
262,subj_118,Right
263,subj_119,Right
264,subj_120,Right
265,subj_121,Right
266,subj_122,Right
267,subj_123,Right
268,subj_124,Right
269,subj_125,Right
270,subj_126,Right
271,subj_127,Right
272,subj_128,Right
273,subj_129,Right
274,subj_130,Right
275,subj_131,Right
276,subj_132,Right
278,subj_133,Right
279,subj_134,Right
280,subj_135,Right
281,subj_136,Right
282,subj_137,Right
283,subj_138,Right
284,subj_139,Right
285,subj_140,Right
286,subj_141,Right
287,subj_142,Right
288,subj_143,Right
289,subj_144,Right
290,subj_145,Right
291,subj_146,Right
292,subj_147,Right
293,subj_148,Right
294,subj_149,Right
295,subj_150,Right
296,subj_151,Right
297,subj_152,Right
298,subj_153,Right
299,subj_154,Right
300,subj_155,Right
301,subj_156,Right
302,subj_157,Right
303,subj_158,Right
304,subj_159,Right
305,subj_160,Right
306,subj_161,Right
307,subj_162,Right
308,subj_163,Right
309,subj_164,Right
310,subj_165,Right
311,subj_166,Right
312,subj_167,Right
316,subj_168,Left
318,subj_169,Left
319,subj_170,Right
320,subj_171,Right
321,subj_172,Right
322,subj_173,Right
323,subj_174,Left
324,subj_175,Right
325,subj_176,Right
326,subj_177,Right
327,subj_178,Right
328,subj_179,Right
329,subj_180,Right
330,subj_181,Right
331,subj_182,Right
332,subj_183,Right
333,subj_184,Right
334,subj_185,Right
335,subj_186,Right
336,subj_187,Right
338,subj_188,Right
339,subj_189,Right
340,subj_190,Right
341,subj_191,Right
342,subj_192,Right
343,subj_193,Right
344,subj_194,Left
345,subj_195,Right
346,subj_196,Right
347,subj_197,Right
348,subj_198,Right
349,subj_199,Right
350,subj_200,Right
351,subj_201,Right
352,subj_202,Right
353,subj_203,Right
354,subj_204,Right
355,subj_205,Right
356,subj_206,Right
357,subj_207,0
358,subj_208,0
359,subj_209,0
360,subj_210,Right
361,subj_211,Right
362,subj_212,0
363,subj_213,Right
364,subj_214,Amb
365,subj_215,Right
366,subj_216,Left
367,subj_217,Right
368,subj_218,Right
369,subj_219,Right
370,subj_220,Right
371,subj_221,Right
373,subj_222,Right
375,subj_223,Right
376,subj_224,Right
377,subj_225,0
