ROI,Subject,Effect, LocalizerSize,EffectSize
1,212_FED_20170322a_3T2_PL2017,S, 37,1.757274
1,212_FED_20170322a_3T2_PL2017,N, 37,-0.555843
1,212_FED_20170322a_3T2_PL2017,S-N, 37,2.313118
1,249_FED_20170417a_3T2_PL2017,S, 37,4.342211
1,249_FED_20170417a_3T2_PL2017,N, 37,0.800853
1,249_FED_20170417a_3T2_PL2017,S-N, 37,3.541358
1,338_FED_20190123a_3T2_PL2017,S, 37,0.992265
1,338_FED_20190123a_3T2_PL2017,N, 37,-0.644379
1,338_FED_20190123a_3T2_PL2017,S-N, 37,1.636644
1,426_FED_20170321b_3T2_PL2017,S, 37,8.943569
1,426_FED_20170321b_3T2_PL2017,N, 37,3.166997
1,426_FED_20170321b_3T2_PL2017,S-N, 37,5.776572
1,551_FED_20170420b_3T2_PL2017,S, 37,-1.570119
1,551_FED_20170420b_3T2_PL2017,N, 37,-1.351095
1,551_FED_20170420b_3T2_PL2017,S-N, 37,-0.219024
1,553_FED_20170428d_3T2_PL2017,S, 37,1.490538
1,553_FED_20170428d_3T2_PL2017,N, 37,0.386629
1,553_FED_20170428d_3T2_PL2017,S-N, 37,1.103909
1,584_FED_20190208a_3T2_PL2017,S, 37,3.262184
1,584_FED_20190208a_3T2_PL2017,N, 37,2.128799
1,584_FED_20190208a_3T2_PL2017,S-N, 37,1.133385
1,602_FED_20170501b_3T2_PL2017,S, 37,-0.117815
1,602_FED_20170501b_3T2_PL2017,N, 37,-0.131865
1,602_FED_20170501b_3T2_PL2017,S-N, 37,0.014050
1,604_FED_20170502b_3T2_PL2017,S, 37,1.926356
1,604_FED_20170502b_3T2_PL2017,N, 37,0.378803
1,604_FED_20170502b_3T2_PL2017,S-N, 37,1.547553
1,605_FED_20170505a_3T2_PL2017,S, 37,4.110653
1,605_FED_20170505a_3T2_PL2017,N, 37,0.379090
1,605_FED_20170505a_3T2_PL2017,S-N, 37,3.731562
1,606_FED_20170515a_3T2_PL2017,S, 37,0.686894
1,606_FED_20170515a_3T2_PL2017,N, 37,0.318817
1,606_FED_20170515a_3T2_PL2017,S-N, 37,0.368077
1,673_FED_20190131c_3T2_PL2017,S, 37,-0.024550
1,673_FED_20190131c_3T2_PL2017,N, 37,0.002924
1,673_FED_20190131c_3T2_PL2017,S-N, 37,-0.027474
1,673_FED_20180720a_3T2_PL2017,S, 37,0.414405
1,673_FED_20180720a_3T2_PL2017,N, 37,0.053937
1,673_FED_20180720a_3T2_PL2017,S-N, 37,0.360469
1,674_FED_20180720b_3T2_PL2017,S, 37,2.456256
1,674_FED_20180720b_3T2_PL2017,N, 37,0.296501
1,674_FED_20180720b_3T2_PL2017,S-N, 37,2.159755
1,675_FED_20180726a_3T2_PL2017,S, 37,2.379101
1,675_FED_20180726a_3T2_PL2017,N, 37,0.664977
1,675_FED_20180726a_3T2_PL2017,S-N, 37,1.714124
1,680_FED_20190131e_3T2_PL2017,S, 37,1.775281
1,680_FED_20190131e_3T2_PL2017,N, 37,0.577412
1,680_FED_20190131e_3T2_PL2017,S-N, 37,1.197869
1,705_FED_20190117a_3T2_PL2017,S, 37,3.313745
1,705_FED_20190117a_3T2_PL2017,N, 37,1.558671
1,705_FED_20190117a_3T2_PL2017,S-N, 37,1.755074
1,707_FED_20190117c_3T2_PL2017,S, 37,1.355355
1,707_FED_20190117c_3T2_PL2017,N, 37,-0.483745
1,707_FED_20190117c_3T2_PL2017,S-N, 37,1.839100
1,709_FED_20190124a_3T2_PL2017,S, 37,1.218071
1,709_FED_20190124a_3T2_PL2017,N, 37,-0.558148
1,709_FED_20190124a_3T2_PL2017,S-N, 37,1.776219
1,710_FED_20190124b_3T2_PL2017,S, 37,-0.429482
1,710_FED_20190124b_3T2_PL2017,N, 37,-0.106828
1,710_FED_20190124b_3T2_PL2017,S-N, 37,-0.322654
1,712_FED_20190124d_3T2_PL2017,S, 37,1.470894
1,712_FED_20190124d_3T2_PL2017,N, 37,-0.059425
1,712_FED_20190124d_3T2_PL2017,S-N, 37,1.530319
1,714_FED_20190131a_3T2_PL2017,S, 37,0.959349
1,714_FED_20190131a_3T2_PL2017,N, 37,0.727219
1,714_FED_20190131a_3T2_PL2017,S-N, 37,0.232130
1,715_FED_20190131b_3T2_PL2017,S, 37,0.769168
1,715_FED_20190131b_3T2_PL2017,N, 37,0.512607
1,715_FED_20190131b_3T2_PL2017,S-N, 37,0.256561
1,716_FED_20190131d_3T2_PL2017,S, 37,6.050141
1,716_FED_20190131d_3T2_PL2017,N, 37,1.623154
1,716_FED_20190131d_3T2_PL2017,S-N, 37,4.426987
1,717_FED_20190207a_3T2_PL2017,S, 37,2.722618
