ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,370,37,1.000000,1.203551,0.029552,40.726221,1023.000000,0.000000,0.000000
2,743,74,1.000000,1.498652,0.029531,50.748903,1023.000000,0.000000,0.000000
3,462,46,1.000000,1.594810,0.032475,49.108359,1023.000000,0.000000,0.000000
4,1627,162,1.000000,1.171353,0.018807,62.281330,1023.000000,0.000000,0.000000
5,2948,294,1.000000,1.390208,0.020526,67.730599,1023.000000,0.000000,0.000000
6,644,64,1.000000,0.792877,0.022647,35.009968,1023.000000,0.000000,0.000000
7,370,37,1.000000,0.455632,0.020046,22.729488,1023.000000,0.000000,0.000000
8,743,74,0.999023,0.558022,0.022015,25.346933,1022.000000,0.000000,0.000000
9,462,46,0.999023,0.347708,0.019996,17.388724,1022.000000,0.000000,0.000000
10,1627,162,1.000000,0.810238,0.018098,44.770048,1023.000000,0.000000,0.000000
11,2948,294,1.000000,0.581150,0.015549,37.375894,1023.000000,0.000000,0.000000
12,644,64,1.000000,0.192798,0.012038,16.016324,1023.000000,0.000000,0.000000
