subject,index,weight,i,j,k,x(mm),y(mm),z(mm)
1024,214783,1.0000,23,72,22,46,16,-30
1024,224702,1.0000,23,72,23,46,16,-28
1024,224703,1.0000,24,72,23,44,16,-28
1024,234621,1.0000,23,72,24,46,16,-26
1024,234622,1.0000,24,72,24,44,16,-26
1024,234712,1.0000,23,73,24,46,18,-26
1024,234713,1.0000,24,73,24,44,18,-26
1024,244540,1.0000,23,72,25,46,16,-24
1024,253271,1.0000,18,59,26,56,-10,-22
1024,253362,1.0000,18,60,26,56,-8,-22
1024,253542,1.0000,16,62,26,60,-4,-22
1024,253633,1.0000,16,63,26,60,-2,-22
1024,254640,1.0000,22,74,26,48,20,-22
1024,254641,1.0000,23,74,26,46,20,-22
1024,263461,1.0000,16,62,27,60,-4,-20
1024,263466,1.0000,21,62,27,50,-4,-20
1024,263552,1.0000,16,63,27,60,-2,-20
1024,263557,1.0000,21,63,27,50,-2,-20
1024,263558,1.0000,22,63,27,48,-2,-20
1024,263643,1.0000,16,64,27,60,0,-20
1024,263791,1.0000,73,65,27,-54,2,-20
1024,263882,1.0000,73,66,27,-54,4,-20
1024,263883,1.0000,74,66,27,-56,4,-20
1024,264559,1.0000,22,74,27,48,20,-20
1024,264560,1.0000,23,74,27,46,20,-20
1024,272747,1.0000,20,55,28,52,-18,-18
1024,272748,1.0000,21,55,28,50,-18,-18
1024,272837,1.0000,19,56,28,54,-16,-18
1024,272838,1.0000,20,56,28,52,-16,-18
1024,272839,1.0000,21,56,28,50,-16,-18
1024,272927,1.0000,18,57,28,56,-14,-18
1024,272928,1.0000,19,57,28,54,-14,-18
1024,272929,1.0000,20,57,28,52,-14,-18
1024,273385,1.0000,21,62,28,50,-4,-18
1024,273471,1.0000,16,63,28,60,-2,-18
1024,273476,1.0000,21,63,28,50,-2,-18
1024,273477,1.0000,22,63,28,48,-2,-18
1024,273617,1.0000,71,64,28,-50,0,-18
1024,273710,1.0000,73,65,28,-54,2,-18
1024,273711,1.0000,74,65,28,-56,2,-18
1024,273800,1.0000,72,66,28,-52,4,-18
1024,273801,1.0000,73,66,28,-54,4,-18
1024,273802,1.0000,74,66,28,-56,4,-18
1024,273891,1.0000,72,67,28,-52,6,-18
1024,274478,1.0000,22,74,28,48,20,-18
1024,274479,1.0000,23,74,28,46,20,-18
1024,274480,1.0000,24,74,28,44,20,-18
1024,274571,1.0000,24,75,28,44,22,-18
1024,282629,1.0000,74,54,29,-56,-20,-16
1024,282666,1.0000,20,55,29,52,-18,-16
1024,282667,1.0000,21,55,29,50,-18,-16
1024,282755,1.0000,18,56,29,56,-16,-16
1024,282756,1.0000,19,56,29,54,-16,-16
1024,282757,1.0000,20,56,29,52,-16,-16
1024,282758,1.0000,21,56,29,50,-16,-16
1024,282845,1.0000,17,57,29,58,-14,-16
1024,282846,1.0000,18,57,29,56,-14,-16
1024,282847,1.0000,19,57,29,54,-14,-16
1024,282848,1.0000,20,57,29,52,-14,-16
1024,282934,1.0000,15,58,29,62,-12,-16
1024,282935,1.0000,16,58,29,60,-12,-16
1024,282936,1.0000,17,58,29,58,-12,-16
1024,282937,1.0000,18,58,29,56,-12,-16
1024,283025,1.0000,15,59,29,62,-10,-16
1024,283536,1.0000,71,64,29,-50,0,-16
1024,283537,1.0000,72,64,29,-52,0,-16
1024,283627,1.0000,71,65,29,-50,2,-16
1024,283628,1.0000,72,65,29,-52,2,-16
1024,283629,1.0000,73,65,29,-54,2,-16
