ROI,Subject,Effect, LocalizerSize,EffectSize
1,212_FED_20170322a_3T2_PL2017,EVEN_S-N, 37,1.999885
1,249_FED_20170417a_3T2_PL2017,EVEN_S-N, 37,4.413682
1,338_FED_20190123a_3T2_PL2017,EVEN_S-N, 37,1.238431
1,426_FED_20170321b_3T2_PL2017,EVEN_S-N, 37,6.100473
1,551_FED_20170420b_3T2_PL2017,EVEN_S-N, 37,-0.475906
1,553_FED_20170428d_3T2_PL2017,EVEN_S-N, 37,1.532033
1,584_FED_20190208a_3T2_PL2017,EVEN_S-N, 37,0.922841
1,602_FED_20170501b_3T2_PL2017,EVEN_S-N, 37,-0.078918
1,604_FED_20170502b_3T2_PL2017,EVEN_S-N, 37,1.890475
1,605_FED_20170505a_3T2_PL2017,EVEN_S-N, 37,3.800027
1,606_FED_20170515a_3T2_PL2017,EVEN_S-N, 37,0.933232
1,673_FED_20190131c_3T2_PL2017,EVEN_S-N, 37,0.090893
1,673_FED_20180720a_3T2_PL2017,EVEN_S-N, 37,0.371528
1,674_FED_20180720b_3T2_PL2017,EVEN_S-N, 37,2.464464
1,675_FED_20180726a_3T2_PL2017,EVEN_S-N, 37,1.381750
1,680_FED_20190131e_3T2_PL2017,EVEN_S-N, 37,1.082310
1,705_FED_20190117a_3T2_PL2017,EVEN_S-N, 37,3.575576
1,707_FED_20190117c_3T2_PL2017,EVEN_S-N, 37,2.301603
1,709_FED_20190124a_3T2_PL2017,EVEN_S-N, 37,1.845346
1,710_FED_20190124b_3T2_PL2017,EVEN_S-N, 37,-0.426149
1,712_FED_20190124d_3T2_PL2017,EVEN_S-N, 37,1.290724
1,714_FED_20190131a_3T2_PL2017,EVEN_S-N, 37,0.323624
1,715_FED_20190131b_3T2_PL2017,EVEN_S-N, 37,0.313049
1,716_FED_20190131d_3T2_PL2017,EVEN_S-N, 37,3.183293
1,717_FED_20190207a_3T2_PL2017,EVEN_S-N, 37,2.922669
1,718_FED_20190207b_3T2_PL2017,EVEN_S-N, 37,-0.483595
1,719_FED_20190207c_3T2_PL2017,EVEN_S-N, 37,0.722878
1,720_FED_20190208b_3T2_PL2017,EVEN_S-N, 37,1.223944
1,721_FED_20190208c_3T2_PL2017,EVEN_S-N, 37,0.149611
1,722_FED_20190213a_3T2_PL2017,EVEN_S-N, 37,0.624805
1,724_FED_20190214b_3T2_PL2017,EVEN_S-N, 37,0.385395
1,018_KAN_RHnonlit_09_PL2017,EVEN_S-N, 37,1.526459
1,018_FED_20150817a_3T1_PL2017,EVEN_S-N, 37,0.393254
1,036_KAN_EvDB_20150501b_PL2017,EVEN_S-N, 37,0.381057
1,043_FED_20170630b_3T2_PL2017,EVEN_S-N, 37,1.940306
1,045_FED_20160803a_3T1_PL2017,EVEN_S-N, 37,2.230342
1,045_FED_20160817a_3T2_PL2017,EVEN_S-N, 37,1.301588
1,049_KAN_RHnonlit_10_PL2017,EVEN_S-N, 37,2.794910
1,050_KAN_evDB_20131218b_PL2017,EVEN_S-N, 37,2.433638
1,055_FED_20191106a_3T2_PL2017,EVEN_S-N, 37,1.553450
1,090_KAN_polyglot_01_PL2017,EVEN_S-N, 37,0.450220
1,097_KAN_RHnonlit_05_PL2017,EVEN_S-N, 37,1.895693
1,113_KAN_prodsemphon_05_PL2017,EVEN_S-N, 37,1.925721
1,117_KAN_EvDB_20150217c_PL2017,EVEN_S-N, 37,1.604274
1,127_FED_20160331a_3T1_PL2017,EVEN_S-N, 37,0.950586
1,127_KAN_EvDB_20150217a_PL2017,EVEN_S-N, 37,1.611460
1,135_KAN_RHnonlit_06_PL2017,EVEN_S-N, 37,1.308571
1,136_KAN_RHnonlit_03_PL2017,EVEN_S-N, 37,0.997333
1,138_KAN_RHnonlit_02_PL2017,EVEN_S-N, 37,0.592763
1,143_FED_20160222a_3T2_PL2017,EVEN_S-N, 37,0.858946
1,143_KAN_evDB_20140121b_PL2017,EVEN_S-N, 37,1.018765
1,149_KAN_EvDB_20150501a_PL2017,EVEN_S-N, 37,0.811822
1,152_KAN_RHnonlit_01_PL2017,EVEN_S-N, 37,1.682598
1,159_KAN_prodsemphon_01_PL2017,EVEN_S-N, 37,1.724922
1,163_KAN_evDB_20141110b_PL2017,EVEN_S-N, 37,2.168313
1,168_FED_20170918a_3T2_PL2017,EVEN_S-N, 37,1.806485
1,168_KAN_evDB_20141020b_PL2017,EVEN_S-N, 37,2.114816
1,168_FED_20160107b_3T2_PL2017,EVEN_S-N, 37,1.068272
1,171_KAN_langsens_05_PL2017,EVEN_S-N, 37,0.438654
1,172_KAN_prodsemphon_02_PL2017,EVEN_S-N, 37,0.947204
1,175_FED_20160121a_3T2_PL2017,EVEN_S-N, 37,1.985233
1,175_FED_20170922a_3T2_PL2017,EVEN_S-N, 37,0.481437
1,179_FED_20160706b_3T1_PL2017,EVEN_S-N, 37,1.124436
1,181_KAN_polyglot_02_PL2017,EVEN_S-N, 37,-0.012184
1,182_FED_20161102_3T1_PL2017,EVEN_S-N, 37,1.872881
1,182_KAN_polyglot_03_PL2017,EVEN_S-N, 37,1.455430
1,183_POLY01_20160420_3T1_PL2017,EVEN_S-N, 37,-0.206688
1,183_KAN_polyglot_04a_PL2017,EVEN_S-N, 37,0.301332
1,185_KAN_langsens_01_PL2017,EVEN_S-N, 37,1.084270
1,186_KAN_langsens_03_PL2017,EVEN_S-N, 37,0.572024
1,187_KAN_SpLoc_01_PL2017,EVEN_S-N, 37,0.087355
1,188_KAN_SpLoc_02_PL2017,EVEN_S-N, 37,1.090237
1,189_KAN_langsens_04_PL2017,EVEN_S-N, 37,1.326236
1,189_FED_20150916a_3T2_PL2017,EVEN_S-N, 37,-0.395885
1,191_KAN_prodsemphon_03_PL2017,EVEN_S-N, 37,1.047944
1,192_KAN_prodsemphon_04_PL2017,EVEN_S-N, 37,1.804889
1,193_KAN_SpLoc_03_PL2017,EVEN_S-N, 37,1.633237
1,194_KAN_RHnonlit_04_PL2017,EVEN_S-N, 37,2.062714
1,195_KAN_parametric_18_PL2017,EVEN_S-N, 37,0.786310
1,196_KAN_parametric_19_PL2017,EVEN_S-N, 37,2.185631
1,197_KAN_RHnonlit_07_PL2017,EVEN_S-N, 37,3.605218
1,198_KAN_RHnonlit_08_PL2017,EVEN_S-N, 37,1.094538
1,199_KAN_parametric_20_PL2017,EVEN_S-N, 37,2.294307
1,200_KAN_parametric_21_PL2017,EVEN_S-N, 37,2.014075
1,201_KAN_RHnonlit_11_PL2017,EVEN_S-N, 37,0.960729
1,202_KAN_evDB_20131204_PL2017,EVEN_S-N, 37,3.392107
1,203_KAN_SpLoc_04_PL2017,EVEN_S-N, 37,3.974128
1,204_KAN_prodsemphon_06_PL2017,EVEN_S-N, 37,0.560175
1,205_KAN_evDB_20131216_PL2017,EVEN_S-N, 37,1.277239
1,206_POLY07_20160425_3T2_PL2017,EVEN_S-N, 37,0.846875
1,206_KAN_evDB_20131218a_PL2017,EVEN_S-N, 37,1.703723
1,207_KAN_evDB_20140113a_PL2017,EVEN_S-N, 37,0.784768
1,208_KAN_EvDB_20150224a_PL2017,EVEN_S-N, 37,5.100692
1,208_KAN_evDB_20140121a_PL2017,EVEN_S-N, 37,1.176296
1,209_KAN_evDB_20140224_PL2017,EVEN_S-N, 37,1.248908
1,210_KAN_EvDB_20150223d_PL2017,EVEN_S-N, 37,0.510715
1,210_KAN_evDB_20140303a_PL2017,EVEN_S-N, 37,-0.106023
1,211_KAN_evDB_20140303b_PL2017,EVEN_S-N, 37,0.887438
1,211_KAN_EvDB_20150217b_PL2017,EVEN_S-N, 37,0.200800
1,212_KAN_evDB_20140303c_PL2017,EVEN_S-N, 37,1.818267
1,213_KAN_evDB_20140310a_PL2017,EVEN_S-N, 37,1.037010
1,214_KAN_evDB_20140310b_PL2017,EVEN_S-N, 37,1.398259
1,215_FED_20150615d_3T2_PL2017,EVEN_S-N, 37,0.448440
1,215_FED_20150729a_3T1_PL2017,EVEN_S-N, 37,-0.018300
1,215_KAN_evDB_20140724a_PL2017,EVEN_S-N, 37,-0.081558
1,216_KAN_SpLoc_05_PL2017,EVEN_S-N, 37,1.968781
1,217_KAN_evDB_20140724b_PL2017,EVEN_S-N, 37,2.257207
1,218_KAN_evDB_20140807a_PL2017,EVEN_S-N, 37,1.030477
1,219_KAN_evDB_20140807b_PL2017,EVEN_S-N, 37,2.252329
1,220_KAN_prodsemphon_07_PL2017,EVEN_S-N, 37,1.029350
1,221_KAN_evDB_20140808_PL2017,EVEN_S-N, 37,1.404940
1,222_KAN_prodsemphon_08_PL2017,EVEN_S-N, 37,0.046940
1,223_KAN_evDB_20140820a_PL2017,EVEN_S-N, 37,0.229635
1,224_FED_20160823b_3T1_PL2017,EVEN_S-N, 37,2.083016
1,224_KAN_prodsemphon_09_PL2017,EVEN_S-N, 37,2.444978
1,225_KAN_evDB_20140820b_PL2017,EVEN_S-N, 37,-0.466946
1,226_KAN_prodsemphon_10_PL2017,EVEN_S-N, 37,2.430716
1,227_KAN_evDB_20141021b_PL2017,EVEN_S-N, 37,1.896530
1,228_KAN_evDB_20141028_PL2017,EVEN_S-N, 37,0.665999
1,229_KAN_evDB_20141103c_PL2017,EVEN_S-N, 37,0.803436
1,229_KAN_SpLoc_06_PL2017,EVEN_S-N, 37,0.661691
1,230_KAN_prodsemphon_12_PL2017,EVEN_S-N, 37,0.941195
1,231_KAN_prodsemphon_13_PL2017,EVEN_S-N, 37,2.071203
1,232_KAN_prodsemphon_14_PL2017,EVEN_S-N, 37,1.364580
1,233_KAN_evDB_20141020a_PL2017,EVEN_S-N, 37,0.819086
1,234_KAN_prodsemphon_15_PL2017,EVEN_S-N, 37,2.289502
1,235_KAN_prodsemphon_16_PL2017,EVEN_S-N, 37,1.612055
1,236_KAN_evDB_20141021c_PL2017,EVEN_S-N, 37,0.772283
1,237_KAN_evDB_20141027a_PL2017,EVEN_S-N, 37,1.261649
1,238_KAN_EvDB_20150504_PL2017,EVEN_S-N, 37,1.443766
1,238_KAN_evDB_20141027c_PL2017,EVEN_S-N, 37,0.505692
1,239_KAN_evDB_20141027d_PL2017,EVEN_S-N, 37,1.681659
1,239_KAN_evDB_20150129b_PL2017,EVEN_S-N, 37,1.298244
1,240_KAN_evDB_20141103a_PL2017,EVEN_S-N, 37,1.329603
1,241_KAN_evDB_20141103d_PL2017,EVEN_S-N, 37,0.818878
1,242_KAN_evDB_20141110a_PL2017,EVEN_S-N, 37,2.005141
1,243_KAN_prodsemphon_18_PL2017,EVEN_S-N, 37,0.870294
1,244_KAN_evDB_20141201a_PL2017,EVEN_S-N, 37,1.856289
1,245_KAN_evDB_20141201b_PL2017,EVEN_S-N, 37,0.570266
1,246_KAN_evDB_20141201c_PL2017,EVEN_S-N, 37,0.381741
1,247_KAN_evDB_20141215b_PL2017,EVEN_S-N, 37,0.989478
1,248_KAN_evDB_20150129a_PL2017,EVEN_S-N, 37,-0.204742
1,248_FED_20151231c_3T2_PL2017,EVEN_S-N, 37,-0.326642
1,249_FED_20160817b_3T1_PL2017,EVEN_S-N, 37,0.555768
1,249_FED_20170110a_3T2_PL2017,EVEN_S-N, 37,2.592799
1,249_KAN_EvDB_20150130_PL2017,EVEN_S-N, 37,2.478174
1,250_KAN_evDB_20150205a_PL2017,EVEN_S-N, 37,-1.269701
1,251_FED_20150828d_3T2_PL2017,EVEN_S-N, 37,0.754464
1,251_KAN_evDB_20150205b_PL2017,EVEN_S-N, 37,0.887393
1,252_FED_20181010b_3T2_PL2017,EVEN_S-N, 37,0.666802
1,252_KAN_evDB_20150206_PL2017,EVEN_S-N, 37,1.485383
1,253_KAN_EvDB_20150211a_PL2017,EVEN_S-N, 37,3.365367
1,254_KAN_EvDB_20150211c_PL2017,EVEN_S-N, 37,0.365783
1,255_KAN_EvDB_20150223a_PL2017,EVEN_S-N, 37,0.539542
1,256_KAN_EvDB_20150223b_PL2017,EVEN_S-N, 37,1.285677
1,257_KAN_EvDB_20150310b_PL2017,EVEN_S-N, 37,3.056400
1,257_KAN_EvDB_20150223c_PL2017,EVEN_S-N, 37,2.128319
1,258_KAN_EvDB_20150224b_PL2017,EVEN_S-N, 37,2.704658
1,259_KAN_EvDB_20150224c_PL2017,EVEN_S-N, 37,0.103746
1,260_KAN_EvDB_20150303_PL2017,EVEN_S-N, 37,-0.276957
1,261_KAN_EvDB_20150304a_PL2017,EVEN_S-N, 37,0.428885
1,261_KAN_EvDB_20150310a_PL2017,EVEN_S-N, 37,-0.047077
1,261_FED_20170828a_3T2_PL2017,EVEN_S-N, 37,3.197713
1,262_FED_20160909a_3T2_PL2017,EVEN_S-N, 37,1.446919
1,262_FED_20170118a_3T2_PL2017,EVEN_S-N, 37,2.825415
1,262_KAN_evDB_20150304b_PL2017,EVEN_S-N, 37,0.646152
1,263_KAN_evDB_20150306_PL2017,EVEN_S-N, 37,1.326451
1,264_KAN_EvDB_20150310c_PL2017,EVEN_S-N, 37,0.973914
1,265_KAN_EvDB_20150310d_PL2017,EVEN_S-N, 37,3.385165
1,266_KAN_EvDB_20150311c_PL2017,EVEN_S-N, 37,1.846486
1,267_KAN_EvDB_20150316a_PL2017,EVEN_S-N, 37,-0.684844
1,268_FED_20170929a_3T2_PL2017,EVEN_S-N, 37,0.363161
1,268_KAN_EvDB_20150317a_PL2017,EVEN_S-N, 37,0.365186
1,269_KAN_EvDB_20150317b_PL2017,EVEN_S-N, 37,0.815828
1,270_KAN_EvDB_20150317c_PL2017,EVEN_S-N, 37,0.545564
1,271_KAN_EvDB_20150323a_PL2017,EVEN_S-N, 37,4.362510
