Subject,Session/Partition,Localizer,EVEN_S-N
212_FED_20170322a_3T2_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/212_FED_20170322a_3T2_PL2017/firstlevel_langloc_DiffTasks_1/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/212_FED_20170322a_3T2_PL2017/firstlevel_langloc_DiffTasks_1/con_0012.nii
249_FED_20170417a_3T2_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/249_FED_20170417a_3T2_PL2017/firstlevel_langloc_DiffTasks_1/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/249_FED_20170417a_3T2_PL2017/firstlevel_langloc_DiffTasks_1/con_0012.nii
338_FED_20190123a_3T2_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/338_FED_20190123a_3T2_PL2017/firstlevel_langloc_DiffTasks_1/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/338_FED_20190123a_3T2_PL2017/firstlevel_langloc_DiffTasks_1/con_0012.nii
426_FED_20170321b_3T2_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/426_FED_20170321b_3T2_PL2017/firstlevel_langloc_DiffTasks_1/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/426_FED_20170321b_3T2_PL2017/firstlevel_langloc_DiffTasks_1/con_0012.nii
551_FED_20170420b_3T2_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/551_FED_20170420b_3T2_PL2017/firstlevel_langloc_DiffTasks_1/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/551_FED_20170420b_3T2_PL2017/firstlevel_langloc_DiffTasks_1/con_0012.nii
553_FED_20170428d_3T2_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/553_FED_20170428d_3T2_PL2017/firstlevel_langloc_DiffTasks_1/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/553_FED_20170428d_3T2_PL2017/firstlevel_langloc_DiffTasks_1/con_0012.nii
584_FED_20190208a_3T2_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/584_FED_20190208a_3T2_PL2017/firstlevel_langloc_DiffTasks_1/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/584_FED_20190208a_3T2_PL2017/firstlevel_langloc_DiffTasks_1/con_0012.nii
602_FED_20170501b_3T2_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/602_FED_20170501b_3T2_PL2017/firstlevel_langloc_DiffTasks_1/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/602_FED_20170501b_3T2_PL2017/firstlevel_langloc_DiffTasks_1/con_0012.nii
604_FED_20170502b_3T2_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/604_FED_20170502b_3T2_PL2017/firstlevel_langloc_DiffTasks_1/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/604_FED_20170502b_3T2_PL2017/firstlevel_langloc_DiffTasks_1/con_0012.nii
605_FED_20170505a_3T2_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/605_FED_20170505a_3T2_PL2017/firstlevel_langloc_DiffTasks_1/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/605_FED_20170505a_3T2_PL2017/firstlevel_langloc_DiffTasks_1/con_0012.nii
606_FED_20170515a_3T2_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/606_FED_20170515a_3T2_PL2017/firstlevel_langloc_DiffTasks_1/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/606_FED_20170515a_3T2_PL2017/firstlevel_langloc_DiffTasks_1/con_0012.nii
673_FED_20190131c_3T2_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/673_FED_20190131c_3T2_PL2017/firstlevel_langloc_DiffTasks_1/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/673_FED_20190131c_3T2_PL2017/firstlevel_langloc_DiffTasks_1/con_0012.nii
673_FED_20180720a_3T2_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/673_FED_20180720a_3T2_PL2017/firstlevel_langloc_DiffTasks_1/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/673_FED_20180720a_3T2_PL2017/firstlevel_langloc_DiffTasks_1/con_0012.nii
674_FED_20180720b_3T2_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/674_FED_20180720b_3T2_PL2017/firstlevel_langloc_DiffTasks_1/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/674_FED_20180720b_3T2_PL2017/firstlevel_langloc_DiffTasks_1/con_0012.nii
675_FED_20180726a_3T2_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/675_FED_20180726a_3T2_PL2017/firstlevel_langloc_DiffTasks_1/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/675_FED_20180726a_3T2_PL2017/firstlevel_langloc_DiffTasks_1/con_0012.nii
680_FED_20190131e_3T2_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/680_FED_20190131e_3T2_PL2017/firstlevel_langloc_DiffTasks_1/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/680_FED_20190131e_3T2_PL2017/firstlevel_langloc_DiffTasks_1/con_0012.nii
705_FED_20190117a_3T2_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/705_FED_20190117a_3T2_PL2017/firstlevel_langloc_DiffTasks_1/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/705_FED_20190117a_3T2_PL2017/firstlevel_langloc_DiffTasks_1/con_0012.nii
707_FED_20190117c_3T2_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/707_FED_20190117c_3T2_PL2017/firstlevel_langloc_DiffTasks_1/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/707_FED_20190117c_3T2_PL2017/firstlevel_langloc_DiffTasks_1/con_0012.nii
709_FED_20190124a_3T2_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/709_FED_20190124a_3T2_PL2017/firstlevel_langloc_DiffTasks_1/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/709_FED_20190124a_3T2_PL2017/firstlevel_langloc_DiffTasks_1/con_0012.nii
710_FED_20190124b_3T2_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/710_FED_20190124b_3T2_PL2017/firstlevel_langloc_DiffTasks_1/locT_0011_percentile-ROI-level0.1_f2f281a0bb9ffa54f781c09b52273cdf.img,/mindhive/evlab/u/Shared/SUBJECTS/710_FED_20190124b_3T2_PL2017/firstlevel_langloc_DiffTasks_1/con_0012.nii
