ROI,Effect,MeanEffect,StdEffect,StderrEffect
1,EVEN_S-N,1.234448,0.989024,0.030907
2,EVEN_S-N,1.527840,1.015739,0.031742
3,EVEN_S-N,1.556871,1.109869,0.034683
4,EVEN_S-N,1.164935,0.618395,0.019325
5,EVEN_S-N,1.378840,0.695511,0.021735
6,EVEN_S-N,0.814789,0.789018,0.024657
7,EVEN_S-N,0.434442,0.745300,0.023291
8,EVEN_S-N,0.533941,0.805922,0.025185
9,EVEN_S-N,0.319109,0.717883,0.022434
10,EVEN_S-N,0.800734,0.630190,0.019693
11,EVEN_S-N,0.562379,0.542310,0.016947
12,EVEN_S-N,0.181775,0.453450,0.014170
