ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;EVEN_S-N],stderr[1;EVEN_S-N],T/F,dof,p,p-fdr
1,370,37,1.000000,1.234448,0.030907,39.940702,1023.000000,0.000000,0.000000
2,743,74,1.000000,1.527840,0.031742,48.133312,1023.000000,0.000000,0.000000
3,462,46,1.000000,1.556871,0.034683,44.888080,1023.000000,0.000000,0.000000
4,1627,162,1.000000,1.164935,0.019325,60.281737,1023.000000,0.000000,0.000000
5,2948,294,1.000000,1.378840,0.021735,63.439464,1023.000000,0.000000,0.000000
6,644,64,1.000000,0.814789,0.024657,33.045183,1023.000000,0.000000,0.000000
7,370,37,1.000000,0.434442,0.023291,18.653100,1023.000000,0.000000,0.000000
8,743,74,0.999023,0.534463,0.025204,21.205257,1022.000000,0.000000,0.000000
9,462,46,0.999023,0.319421,0.022454,14.225824,1022.000000,0.000000,0.000000
10,1627,162,1.000000,0.800734,0.019693,40.659931,1023.000000,0.000000,0.000000
11,2948,294,1.000000,0.562379,0.016947,33.184197,1023.000000,0.000000,0.000000
12,644,64,1.000000,0.181775,0.014170,12.827868,1023.000000,0.000000,0.000000
