subject,index,weight,i,j,k,x(mm),y(mm),z(mm)
1024,214783,1.0000,23,72,22,46,16,-30
1024,224702,1.0000,23,72,23,46,16,-28
1024,224793,1.0000,23,73,23,46,18,-28
1024,233849,1.0000,70,63,24,-48,-2,-26
1024,233853,1.0000,74,63,24,-56,-2,-26
1024,234530,1.0000,23,71,24,46,14,-26
1024,234621,1.0000,23,72,24,46,16,-26
1024,234712,1.0000,23,73,24,46,18,-26
1024,234713,1.0000,24,73,24,44,18,-26
1024,234803,1.0000,23,74,24,46,20,-26
1024,234804,1.0000,24,74,24,44,20,-26
1024,234894,1.0000,23,75,24,46,22,-26
1024,243356,1.0000,22,59,25,48,-10,-24
1024,243447,1.0000,22,60,25,48,-8,-24
1024,243448,1.0000,23,60,25,46,-8,-24
1024,243624,1.0000,17,62,25,58,-4,-24
1024,243625,1.0000,18,62,25,56,-4,-24
1024,243626,1.0000,19,62,25,54,-4,-24
1024,243682,1.0000,75,62,25,-58,-4,-24
1024,243715,1.0000,17,63,25,58,-2,-24
1024,243716,1.0000,18,63,25,56,-2,-24
1024,243717,1.0000,19,63,25,54,-2,-24
1024,243721,1.0000,23,63,25,46,-2,-24
1024,243771,1.0000,73,63,25,-54,-2,-24
1024,243772,1.0000,74,63,25,-56,-2,-24
1024,243773,1.0000,75,63,25,-58,-2,-24
1024,243811,1.0000,22,64,25,48,0,-24
1024,244080,1.0000,18,67,25,56,6,-24
1024,244081,1.0000,19,67,25,54,6,-24
1024,244631,1.0000,23,73,25,46,18,-24
1024,244721,1.0000,22,74,25,48,20,-24
1024,244722,1.0000,23,74,25,46,20,-24
1024,244723,1.0000,24,74,25,44,20,-24
1024,253184,1.0000,22,58,26,48,-12,-22
1024,253185,1.0000,23,58,26,46,-12,-22
1024,253275,1.0000,22,59,26,48,-10,-22
1024,253276,1.0000,23,59,26,46,-10,-22
1024,253366,1.0000,22,60,26,48,-8,-22
1024,253367,1.0000,23,60,26,46,-8,-22
1024,253451,1.0000,16,61,26,60,-6,-22
1024,253452,1.0000,17,61,26,58,-6,-22
1024,253457,1.0000,22,61,26,48,-6,-22
1024,253458,1.0000,23,61,26,46,-6,-22
1024,253542,1.0000,16,62,26,60,-4,-22
1024,253543,1.0000,17,62,26,58,-4,-22
1024,253544,1.0000,18,62,26,56,-4,-22
1024,253548,1.0000,22,62,26,48,-4,-22
1024,253549,1.0000,23,62,26,46,-4,-22
1024,253602,1.0000,76,62,26,-60,-4,-22
1024,253633,1.0000,16,63,26,60,-2,-22
1024,253634,1.0000,17,63,26,58,-2,-22
1024,253639,1.0000,22,63,26,48,-2,-22
1024,253640,1.0000,23,63,26,46,-2,-22
1024,253692,1.0000,75,63,26,-58,-2,-22
1024,253693,1.0000,76,63,26,-60,-2,-22
1024,253729,1.0000,21,64,26,50,0,-22
1024,253730,1.0000,22,64,26,48,0,-22
1024,253731,1.0000,23,64,26,46,0,-22
1024,253999,1.0000,18,67,26,56,6,-22
1024,254458,1.0000,22,72,26,48,16,-22
1024,254550,1.0000,23,73,26,46,18,-22
1024,254641,1.0000,23,74,26,46,20,-22
1024,262922,1.0000,23,56,27,46,-16,-20
1024,263013,1.0000,23,57,27,46,-14,-20
1024,263103,1.0000,22,58,27,48,-12,-20
1024,263104,1.0000,23,58,27,46,-12,-20
1024,263193,1.0000,21,59,27,50,-10,-20
1024,263194,1.0000,22,59,27,48,-10,-20
1024,263195,1.0000,23,59,27,46,-10,-20
