ROI,Subject,Effect, LocalizerSize,EffectSize
1,212_FED_20170322a_3T2_PL2017,ODD_S-N, 37,2.626350
1,249_FED_20170417a_3T2_PL2017,ODD_S-N, 37,2.669034
1,338_FED_20190123a_3T2_PL2017,ODD_S-N, 37,2.034856
1,426_FED_20170321b_3T2_PL2017,ODD_S-N, 37,5.452671
1,551_FED_20170420b_3T2_PL2017,ODD_S-N, 37,0.037857
1,553_FED_20170428d_3T2_PL2017,ODD_S-N, 37,0.675786
1,584_FED_20190208a_3T2_PL2017,ODD_S-N, 37,1.343930
1,602_FED_20170501b_3T2_PL2017,ODD_S-N, 37,0.107019
1,604_FED_20170502b_3T2_PL2017,ODD_S-N, 37,1.204632
1,605_FED_20170505a_3T2_PL2017,ODD_S-N, 37,3.663098
1,606_FED_20170515a_3T2_PL2017,ODD_S-N, 37,-0.197077
1,673_FED_20190131c_3T2_PL2017,ODD_S-N, 37,-0.145841
1,673_FED_20180720a_3T2_PL2017,ODD_S-N, 37,0.349409
1,674_FED_20180720b_3T2_PL2017,ODD_S-N, 37,1.855046
1,675_FED_20180726a_3T2_PL2017,ODD_S-N, 37,2.046498
1,680_FED_20190131e_3T2_PL2017,ODD_S-N, 37,1.313429
1,705_FED_20190117a_3T2_PL2017,ODD_S-N, 37,-0.065428
1,707_FED_20190117c_3T2_PL2017,ODD_S-N, 37,1.376596
1,709_FED_20190124a_3T2_PL2017,ODD_S-N, 37,1.707092
1,710_FED_20190124b_3T2_PL2017,ODD_S-N, 37,-0.219159
1,712_FED_20190124d_3T2_PL2017,ODD_S-N, 37,1.769915
1,714_FED_20190131a_3T2_PL2017,ODD_S-N, 37,0.140636
1,715_FED_20190131b_3T2_PL2017,ODD_S-N, 37,0.200072
1,716_FED_20190131d_3T2_PL2017,ODD_S-N, 37,5.670681
1,717_FED_20190207a_3T2_PL2017,ODD_S-N, 37,2.009455
1,718_FED_20190207b_3T2_PL2017,ODD_S-N, 37,0.717620
1,719_FED_20190207c_3T2_PL2017,ODD_S-N, 37,0.819091
1,720_FED_20190208b_3T2_PL2017,ODD_S-N, 37,0.798344
1,721_FED_20190208c_3T2_PL2017,ODD_S-N, 37,0.679776
1,722_FED_20190213a_3T2_PL2017,ODD_S-N, 37,1.182188
1,724_FED_20190214b_3T2_PL2017,ODD_S-N, 37,0.373085
1,018_KAN_RHnonlit_09_PL2017,ODD_S-N, 37,1.041289
1,018_FED_20150817a_3T1_PL2017,ODD_S-N, 37,0.223443
1,036_KAN_EvDB_20150501b_PL2017,ODD_S-N, 37,-0.351724
1,043_FED_20170630b_3T2_PL2017,ODD_S-N, 37,1.891102
1,045_FED_20160803a_3T1_PL2017,ODD_S-N, 37,2.904257
1,045_FED_20160817a_3T2_PL2017,ODD_S-N, 37,2.135560
1,049_KAN_RHnonlit_10_PL2017,ODD_S-N, 37,2.146487
1,050_KAN_evDB_20131218b_PL2017,ODD_S-N, 37,2.231544
1,055_FED_20191106a_3T2_PL2017,ODD_S-N, 37,1.427255
1,090_KAN_polyglot_01_PL2017,ODD_S-N, 37,1.310680
1,097_KAN_RHnonlit_05_PL2017,ODD_S-N, 37,1.477178
1,113_KAN_prodsemphon_05_PL2017,ODD_S-N, 37,1.579032
1,117_KAN_EvDB_20150217c_PL2017,ODD_S-N, 37,1.364506
1,127_FED_20160331a_3T1_PL2017,ODD_S-N, 37,1.087916
1,127_KAN_EvDB_20150217a_PL2017,ODD_S-N, 37,2.090295
1,135_KAN_RHnonlit_06_PL2017,ODD_S-N, 37,1.947378
1,136_KAN_RHnonlit_03_PL2017,ODD_S-N, 37,1.127170
1,138_KAN_RHnonlit_02_PL2017,ODD_S-N, 37,0.448416
1,143_FED_20160222a_3T2_PL2017,ODD_S-N, 37,1.014227
1,143_KAN_evDB_20140121b_PL2017,ODD_S-N, 37,-0.178679
1,149_KAN_EvDB_20150501a_PL2017,ODD_S-N, 37,0.788501
1,152_KAN_RHnonlit_01_PL2017,ODD_S-N, 37,0.786644
1,159_KAN_prodsemphon_01_PL2017,ODD_S-N, 37,1.190587
1,163_KAN_evDB_20141110b_PL2017,ODD_S-N, 37,1.590089
1,168_FED_20170918a_3T2_PL2017,ODD_S-N, 37,2.493660
1,168_KAN_evDB_20141020b_PL2017,ODD_S-N, 37,1.954844
1,168_FED_20160107b_3T2_PL2017,ODD_S-N, 37,0.334795
1,171_KAN_langsens_05_PL2017,ODD_S-N, 37,-0.053910
1,172_KAN_prodsemphon_02_PL2017,ODD_S-N, 37,0.763261
1,175_FED_20160121a_3T2_PL2017,ODD_S-N, 37,2.270703
1,175_FED_20170922a_3T2_PL2017,ODD_S-N, 37,0.829184
1,179_FED_20160706b_3T1_PL2017,ODD_S-N, 37,0.538148
1,181_KAN_polyglot_02_PL2017,ODD_S-N, 37,0.522550
1,182_FED_20161102_3T1_PL2017,ODD_S-N, 37,1.282680
1,182_KAN_polyglot_03_PL2017,ODD_S-N, 37,1.394192
1,183_POLY01_20160420_3T1_PL2017,ODD_S-N, 37,0.308220
1,183_KAN_polyglot_04a_PL2017,ODD_S-N, 37,0.007986
1,185_KAN_langsens_01_PL2017,ODD_S-N, 37,1.055240
1,186_KAN_langsens_03_PL2017,ODD_S-N, 37,0.301794
1,187_KAN_SpLoc_01_PL2017,ODD_S-N, 37,0.399493
1,188_KAN_SpLoc_02_PL2017,ODD_S-N, 37,0.638117
1,189_KAN_langsens_04_PL2017,ODD_S-N, 37,1.226307
1,189_FED_20150916a_3T2_PL2017,ODD_S-N, 37,0.647530
1,191_KAN_prodsemphon_03_PL2017,ODD_S-N, 37,1.304009
1,192_KAN_prodsemphon_04_PL2017,ODD_S-N, 37,2.333648
1,193_KAN_SpLoc_03_PL2017,ODD_S-N, 37,1.238107
1,194_KAN_RHnonlit_04_PL2017,ODD_S-N, 37,1.246980
1,195_KAN_parametric_18_PL2017,ODD_S-N, 37,0.244553
1,196_KAN_parametric_19_PL2017,ODD_S-N, 37,0.858865
1,197_KAN_RHnonlit_07_PL2017,ODD_S-N, 37,2.411594
1,198_KAN_RHnonlit_08_PL2017,ODD_S-N, 37,0.699382
1,199_KAN_parametric_20_PL2017,ODD_S-N, 37,1.877923
1,200_KAN_parametric_21_PL2017,ODD_S-N, 37,1.444192
1,201_KAN_RHnonlit_11_PL2017,ODD_S-N, 37,1.253527
1,202_KAN_evDB_20131204_PL2017,ODD_S-N, 37,2.489296
1,203_KAN_SpLoc_04_PL2017,ODD_S-N, 37,3.982433
1,204_KAN_prodsemphon_06_PL2017,ODD_S-N, 37,0.277853
1,205_KAN_evDB_20131216_PL2017,ODD_S-N, 37,0.122506
1,206_POLY07_20160425_3T2_PL2017,ODD_S-N, 37,1.055729
1,206_KAN_evDB_20131218a_PL2017,ODD_S-N, 37,1.990493
1,207_KAN_evDB_20140113a_PL2017,ODD_S-N, 37,0.469574
1,208_KAN_EvDB_20150224a_PL2017,ODD_S-N, 37,3.474378
1,208_KAN_evDB_20140121a_PL2017,ODD_S-N, 37,1.154754
