ROI,Subject,Session/Partition,LocalizerSize
1,212_FED_20170322a_3T2_PL2017,1,37
1,249_FED_20170417a_3T2_PL2017,1,37
1,338_FED_20190123a_3T2_PL2017,1,37
1,426_FED_20170321b_3T2_PL2017,1,37
1,551_FED_20170420b_3T2_PL2017,1,37
1,553_FED_20170428d_3T2_PL2017,1,37
1,584_FED_20190208a_3T2_PL2017,1,37
1,602_FED_20170501b_3T2_PL2017,1,37
1,604_FED_20170502b_3T2_PL2017,1,37
1,605_FED_20170505a_3T2_PL2017,1,37
1,606_FED_20170515a_3T2_PL2017,1,37
1,673_FED_20190131c_3T2_PL2017,1,37
1,673_FED_20180720a_3T2_PL2017,1,37
1,674_FED_20180720b_3T2_PL2017,1,37
1,675_FED_20180726a_3T2_PL2017,1,37
1,680_FED_20190131e_3T2_PL2017,1,37
1,705_FED_20190117a_3T2_PL2017,1,37
1,707_FED_20190117c_3T2_PL2017,1,37
1,709_FED_20190124a_3T2_PL2017,1,37
1,710_FED_20190124b_3T2_PL2017,1,37
1,712_FED_20190124d_3T2_PL2017,1,37
1,714_FED_20190131a_3T2_PL2017,1,37
1,715_FED_20190131b_3T2_PL2017,1,37
1,716_FED_20190131d_3T2_PL2017,1,37
1,717_FED_20190207a_3T2_PL2017,1,37
1,718_FED_20190207b_3T2_PL2017,1,37
1,719_FED_20190207c_3T2_PL2017,1,37
1,720_FED_20190208b_3T2_PL2017,1,37
1,721_FED_20190208c_3T2_PL2017,1,37
1,722_FED_20190213a_3T2_PL2017,1,37
1,724_FED_20190214b_3T2_PL2017,1,37
1,018_KAN_RHnonlit_09_PL2017,1,37
1,018_FED_20150817a_3T1_PL2017,1,37
1,036_KAN_EvDB_20150501b_PL2017,1,37
1,043_FED_20170630b_3T2_PL2017,1,37
1,045_FED_20160803a_3T1_PL2017,1,37
1,045_FED_20160817a_3T2_PL2017,1,37
1,049_KAN_RHnonlit_10_PL2017,1,37
1,050_KAN_evDB_20131218b_PL2017,1,37
1,055_FED_20191106a_3T2_PL2017,1,37
1,090_KAN_polyglot_01_PL2017,1,37
1,097_KAN_RHnonlit_05_PL2017,1,37
1,113_KAN_prodsemphon_05_PL2017,1,37
1,117_KAN_EvDB_20150217c_PL2017,1,37
1,127_FED_20160331a_3T1_PL2017,1,37
1,127_KAN_EvDB_20150217a_PL2017,1,37
1,135_KAN_RHnonlit_06_PL2017,1,37
1,136_KAN_RHnonlit_03_PL2017,1,37
1,138_KAN_RHnonlit_02_PL2017,1,37
1,143_FED_20160222a_3T2_PL2017,1,37
1,143_KAN_evDB_20140121b_PL2017,1,37
1,149_KAN_EvDB_20150501a_PL2017,1,37
1,152_KAN_RHnonlit_01_PL2017,1,37
1,159_KAN_prodsemphon_01_PL2017,1,37
1,163_KAN_evDB_20141110b_PL2017,1,37
1,168_FED_20170918a_3T2_PL2017,1,37
1,168_KAN_evDB_20141020b_PL2017,1,37
1,168_FED_20160107b_3T2_PL2017,1,37
1,171_KAN_langsens_05_PL2017,1,37
1,172_KAN_prodsemphon_02_PL2017,1,37
1,175_FED_20160121a_3T2_PL2017,1,37
1,175_FED_20170922a_3T2_PL2017,1,37
1,179_FED_20160706b_3T1_PL2017,1,37
1,181_KAN_polyglot_02_PL2017,1,37
1,182_FED_20161102_3T1_PL2017,1,37
1,182_KAN_polyglot_03_PL2017,1,37
1,183_POLY01_20160420_3T1_PL2017,1,37
1,183_KAN_polyglot_04a_PL2017,1,37
1,185_KAN_langsens_01_PL2017,1,37
1,186_KAN_langsens_03_PL2017,1,37
1,187_KAN_SpLoc_01_PL2017,1,37
1,188_KAN_SpLoc_02_PL2017,1,37
1,189_KAN_langsens_04_PL2017,1,37
1,189_FED_20150916a_3T2_PL2017,1,37
