ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;ODD_S-N],stderr[1;ODD_S-N],T/F,dof,p,p-fdr
1,370,37,1.000000,1.149252,0.039516,29.083461,1023.000000,0.000000,0.000000
2,743,74,1.000000,1.460765,0.032469,44.989687,1023.000000,0.000000,0.000000
3,462,46,1.000000,1.617509,0.035015,46.195326,1023.000000,0.000000,0.000000
4,1627,162,1.000000,1.168744,0.019889,58.764759,1023.000000,0.000000,0.000000
5,2948,294,1.000000,1.390127,0.021350,65.111792,1023.000000,0.000000,0.000000
6,644,64,1.000000,0.760455,0.023076,32.954348,1023.000000,0.000000,0.000000
7,370,37,1.000000,0.470543,0.020868,22.548952,1023.000000,0.000000,0.000000
8,743,74,0.999023,0.569169,0.023840,23.874221,1022.000000,0.000000,0.000000
9,462,46,0.999023,0.371382,0.023654,15.700815,1022.000000,0.000000,0.000000
10,1627,162,1.000000,0.807702,0.018644,43.321779,1023.000000,0.000000,0.000000
11,2948,294,1.000000,0.593112,0.016451,36.052789,1023.000000,0.000000,0.000000
12,644,64,1.000000,0.194773,0.012441,15.655959,1023.000000,0.000000,0.000000
