Session,Langloc_Version
718_FED_20190207b_3T2_PL2017,langloc_DiffTasks_1
722_FED_20190213a_3T2_PL2017,langloc_DiffTasks_1
602_FED_20170501b_3T2_PL2017,langloc_DiffTasks_1
604_FED_20170502b_3T2_PL2017,langloc_DiffTasks_1
605_FED_20170505a_3T2_PL2017,langloc_DiffTasks_1
606_FED_20170515a_3T2_PL2017,langloc_DiffTasks_1
673_FED_20180720a_3T2_PL2017,langloc_DiffTasks_1
674_FED_20180720b_3T2_PL2017,langloc_DiffTasks_1
675_FED_20180726a_3T2_PL2017,langloc_DiffTasks_1
707_FED_20190117c_3T2_PL2017,langloc_DiffTasks_1
709_FED_20190124a_3T2_PL2017,langloc_DiffTasks_1
712_FED_20190124d_3T2_PL2017,langloc_DiffTasks_1
714_FED_20190131a_3T2_PL2017,langloc_DiffTasks_1
715_FED_20190131b_3T2_PL2017,langloc_DiffTasks_1
716_FED_20190131d_3T2_PL2017,langloc_DiffTasks_1
717_FED_20190207a_3T2_PL2017,langloc_DiffTasks_1
719_FED_20190207c_3T2_PL2017,langloc_DiffTasks_1
720_FED_20190208b_3T2_PL2017,langloc_DiffTasks_1
723_FED_20190214a_3T2_PL2017,langloc_DiffTasks_1
710_FED_20190124b_3T2_PL2017,langloc_DiffTasks_1
150_KAN_stories_12b_PL2017,funloc
186_KAN_EvDB_20150316b_PL2017,funloc
205_KAN_evDB_20140701b_PL2017,funloc
210_KAN_evDB_20140303a_PL2017,funloc
214_KAN_evDB_20141021a_PL2017,funloc
230_KAN_evDB_20141027b_PL2017,funloc
244_KAN_evDB_20141201a_PL2017,funloc
337_FED_20151215a_3T1_PL2017,langlocSN
824_FED_20200130a_3T2_PL2017,langlocSN
195_KAN_parametric_18_PL2017,langlocSN
250_KAN_evDB_20150205a_PL2017,langlocSN
372_FED_20160318b_3T1_PL2017,langlocSN
676_FED_20180727a_3T2_PL2017,langlocSN
618_AIW_Irish_20170612_F_3T2_PL2017,langlocSN
666_FED_20170830a_3T2_PL2017,langlocSN
018_FED_20150817a_3T1_PL2017,langlocSN
036_KAN_EvDB_20150501b_PL2017,langlocSN
043_FED_20170630b_3T2_PL2017,langlocSN
045_FED_20160817a_3T2_PL2017,langlocSN
050_KAN_evDB_20131218b_PL2017,langlocSN
055_FED_20191106a_3T2_PL2017,langlocSN
097_KAN_RHnonlit_05_PL2017,langlocSN
135_KAN_RHnonlit_06_PL2017,langlocSN
149_KAN_EvDB_20150501a_PL2017,langlocSN
152_KAN_RHnonlit_01_PL2017,langlocSN
168_KAN_evDB_20141020b_PL2017,langlocSN
175_FED_20160121a_3T2_PL2017,langlocSN
181_KAN_polyglot_02_PL2017,langlocSN
182_AIW_Hebrew_20161102_M_3T1_PL2017,langlocSN
183_KAN_polyglot_04a_PL2017,langlocSN
185_KAN_langsens_01_PL2017,langlocSN
187_KAN_SpLoc_01_PL2017,langlocSN
188_KAN_SpLoc_02_PL2017,langlocSN
189_KAN_langsens_04_PL2017,langlocSN
191_KAN_prodsemphon_03_PL2017,langlocSN
192_KAN_prodsemphon_04_PL2017,langlocSN
193_KAN_SpLoc_03_PL2017,langlocSN
194_KAN_RHnonlit_04_PL2017,langlocSN
196_KAN_parametric_19_PL2017,langlocSN
197_KAN_RHnonlit_07_PL2017,langlocSN
198_KAN_RHnonlit_08_PL2017,langlocSN
199_KAN_parametric_20_PL2017,langlocSN
200_KAN_parametric_21_PL2017,langlocSN
201_KAN_RHnonlit_11_PL2017,langlocSN
202_KAN_evDB_20131204_PL2017,langlocSN
203_KAN_SpLoc_04_PL2017,langlocSN
204_KAN_prodsemphon_06_PL2017,langlocSN
206_KAN_evDB_20131218a_PL2017,langlocSN
207_KAN_evDB_20140113a_PL2017,langlocSN
208_KAN_EvDB_20150224a_PL2017,langlocSN
209_KAN_evDB_20140224_PL2017,langlocSN
211_KAN_evDB_20140303b_PL2017,langlocSN
212_KAN_evDB_20140303c_PL2017,langlocSN
213_KAN_evDB_20140310a_PL2017,langlocSN
215_FED_20150615d_3T2_PL2017,langlocSN
216_KAN_SpLoc_05_PL2017,langlocSN
217_KAN_evDB_20140724b_PL2017,langlocSN
218_KAN_evDB_20140807a_PL2017,langlocSN
219_KAN_evDB_20140807b_PL2017,langlocSN
220_KAN_prodsemphon_07_PL2017,langlocSN
221_KAN_evDB_20140808_PL2017,langlocSN
222_KAN_prodsemphon_08_PL2017,langlocSN
223_KAN_evDB_20140820a_PL2017,langlocSN
224_FED_20160823b_3T1_PL2017,langlocSN
225_KAN_evDB_20140820b_PL2017,langlocSN
226_KAN_prodsemphon_10_PL2017,langlocSN
227_KAN_evDB_20141021b_PL2017,langlocSN
228_KAN_evDB_20141028_PL2017,langlocSN
229_KAN_SpLoc_06_PL2017,langlocSN
231_KAN_prodsemphon_13_PL2017,langlocSN
232_KAN_prodsemphon_14_PL2017,langlocSN
233_KAN_evDB_20141020a_PL2017,langlocSN
234_KAN_prodsemphon_15_PL2017,langlocSN
235_KAN_prodsemphon_16_PL2017,langlocSN
236_KAN_evDB_20141021c_PL2017,langlocSN
237_KAN_evDB_20141027a_PL2017,langlocSN
238_KAN_EvDB_20150504_PL2017,langlocSN
239_KAN_evDB_20150129b_PL2017,langlocSN
240_KAN_evDB_20141103a_PL2017,langlocSN
241_KAN_evDB_20141103d_PL2017,langlocSN
242_KAN_evDB_20141110a_PL2017,langlocSN
243_KAN_prodsemphon_18_PL2017,langlocSN
245_KAN_evDB_20141201b_PL2017,langlocSN
246_KAN_evDB_20141201c_PL2017,langlocSN
247_KAN_evDB_20141215b_PL2017,langlocSN
248_KAN_evDB_20150129a_PL2017,langlocSN
249_FED_20170110a_3T2_PL2017,langlocSN
251_KAN_evDB_20150205b_PL2017,langlocSN
252_KAN_evDB_20150206_PL2017,langlocSN
253_KAN_EvDB_20150211a_PL2017,langlocSN
254_KAN_EvDB_20150211c_PL2017,langlocSN
255_KAN_EvDB_20150223a_PL2017,langlocSN
256_KAN_EvDB_20150223b_PL2017,langlocSN
257_KAN_EvDB_20150223c_PL2017,langlocSN
258_KAN_EvDB_20150224b_PL2017,langlocSN
259_KAN_EvDB_20150224c_PL2017,langlocSN
261_FED_20170828a_3T2_PL2017,langlocSN
262_FED_20160909a_3T2_PL2017,langlocSN
263_KAN_evDB_20150306_PL2017,langlocSN
264_KAN_EvDB_20150310c_PL2017,langlocSN
265_KAN_EvDB_20150310d_PL2017,langlocSN
266_KAN_EvDB_20150311c_PL2017,langlocSN
267_KAN_EvDB_20150316a_PL2017,langlocSN
268_KAN_EvDB_20150317a_PL2017,langlocSN
269_KAN_EvDB_20150317b_PL2017,langlocSN
270_KAN_EvDB_20150317c_PL2017,langlocSN
271_KAN_EvDB_20150323a_PL2017,langlocSN
272_KAN_EvDB_20150323b_PL2017,langlocSN
273_KAN_EvDB_20150323c_PL2017,langlocSN
274_KAN_EvDB_20150324a_PL2017,langlocSN
275_KAN_EvDB_20150324b_PL2017,langlocSN
276_KAN_EvDB_20150325a_PL2017,langlocSN
278_KAN_EvDB_20150428a_PL2017,langlocSN
279_KAN_EvDB_20150429a_PL2017,langlocSN
280_KAN_EvDB_20150429b_PL2017,langlocSN
281_KAN_EvDB_20150429e_PL2017,langlocSN
282_KAN_EvDB_20150505a_PL2017,langlocSN
283_KAN_EvDB_20150505b_PL2017,langlocSN
